country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,6.435726,,,
Albania,2017,,,,,7.012433,,,
Albania,2018,,,,,7.414018,,,
Argentina (urban),1980,20.215687,,,,,,,
Argentina (urban),1986,21.202253,,,,,,,
Argentina (urban),1987,18.234444,,,,,,,
Argentina (urban),1991,12.4602995,,,,,,,
Argentina (urban),1992,,12.874003,,,,,,
Argentina (urban),1993,,13.145902,,,,,,
Argentina (urban),1994,,12.61192,,,,,,
Argentina (urban),1995,,11.190066,,,,,,
Argentina (urban),1996,,10.753078,,,,,,
Argentina (urban),1997,,11.373417,,,,,,
Argentina (urban),1998,,,10.448831,,,,,
Argentina (urban),1999,,,10.155893,,,,,
Argentina (urban),2000,,,9.506752,,,,,
Argentina (urban),2001,,,8.240986,,,,,
Argentina (urban),2002,,,5.7475123,,,,,
Argentina (urban),2003,,,,8.757152,,,,
Argentina (urban),2004,,,,10.034626,,,,
Argentina (urban),2005,,,,11.334879,,,,
Argentina (urban),2006,,,,13.050089,,,,
Argentina (urban),2007,,,,13.425366,,,,
Argentina (urban),2008,,,,14.341199,,,,
Argentina (urban),2009,,,,15.337396,,,,
Argentina (urban),2010,,,,15.748339,,,,
Argentina (urban),2011,,,,17.120893,,,,
Argentina (urban),2012,,,,17.42216,,,,
Argentina (urban),2013,,,,17.58673,,,,
Argentina (urban),2014,,,,15.860012,,,,
Argentina (urban),2016,,,,16.539946,,,,
Argentina (urban),2017,,,,17.71174,,,,
Argentina (urban),2018,,,,15.914594,,,,
Argentina (urban),2019,,,,14.827813,,,,
Argentina (urban),2020,,,,12.877558,,,,
Argentina (urban),2021,,,,14.418724,,,,
Argentina (urban),2022,,,,14.006629,,,,
Argentina (urban),2023,,,,13.404037,,,,
Argentina (urban),2024,,,,14.00801,,,,
Armenia,1996,4.0355587,,,,,,,
Australia,1981,28.962152,,,,,,,
Australia,1985,,29.051523,,,,,,
Australia,1989,,,29.575932,,,,,
Australia,1995,,,,27.41423,,,,
Australia,2001,,,,30.69212,,,,
Australia,2003,,,,31.753088,,,,
Australia,2004,,,,34.718178,,,,
Australia,2008,,,,41.78896,,,,
Australia,2010,,,,42.10731,,,,
Australia,2014,,,,46.66088,,,,
Australia,2016,,,,45.859608,,,,
Australia,2018,,,,46.126812,,,,
Australia,2020,,,,48.550816,,,,
Austria,1994,,44.466217,,,,,,
Austria,1995,,43.97804,,,,,,
Austria,1996,,42.571598,,,,,,
Austria,1997,,42.37613,,,,,,
Austria,1998,,43.157578,,,,,,
Austria,1999,,44.704887,,,,,,
Austria,2000,,44.172806,,,,,,
Austria,2003,,,47.372883,,,,,
Austria,2004,,,49.11092,,,,,
Austria,2005,,,47.32894,,,,,
Austria,2006,,,48.121113,,,,,
Austria,2007,,,50.11716,,,,,
