country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,8.86715,,,
Albania,2017,,,,,9.074706,,,
Albania,2018,,,,,9.130076,,,
Argentina (urban),1980,8.394564,,,,,,,
Argentina (urban),1986,7.9847827,,,,,,,
Argentina (urban),1987,7.7232985,,,,,,,
Argentina (urban),1991,7.2388945,,,,,,,
Argentina (urban),1992,,7.656885,,,,,,
Argentina (urban),1993,,7.896989,,,,,,
Argentina (urban),1994,,7.7171893,,,,,,
Argentina (urban),1995,,7.358013,,,,,,
Argentina (urban),1996,,7.3007984,,,,,,
Argentina (urban),1997,,7.308213,,,,,,
Argentina (urban),1998,,,7.0634127,,,,,
Argentina (urban),1999,,,7.289608,,,,,
Argentina (urban),2000,,,7.1745453,,,,,
Argentina (urban),2001,,,6.9154935,,,,,
Argentina (urban),2002,,,6.843576,,,,,
Argentina (urban),2003,,,,7.118318,,,,
Argentina (urban),2004,,,,7.563914,,,,
Argentina (urban),2005,,,,7.640586,,,,
Argentina (urban),2006,,,,7.895635,,,,
Argentina (urban),2007,,,,7.884106,,,,
Argentina (urban),2008,,,,8.035824,,,,
Argentina (urban),2009,,,,8.260606,,,,
Argentina (urban),2010,,,,8.215004,,,,
Argentina (urban),2011,,,,8.286846,,,,
Argentina (urban),2012,,,,8.484842,,,,
Argentina (urban),2013,,,,8.5556555,,,,
Argentina (urban),2014,,,,8.348006,,,,
Argentina (urban),2016,,,,8.304198,,,,
Argentina (urban),2017,,,,8.414237,,,,
Argentina (urban),2018,,,,8.440585,,,,
Argentina (urban),2019,,,,8.225521,,,,
Argentina (urban),2020,,,,8.277098,,,,
Argentina (urban),2021,,,,8.203179,,,,
Argentina (urban),2022,,,,8.324703,,,,
Argentina (urban),2023,,,,8.197798,,,,
Argentina (urban),2024,,,,8.106514,,,,
Armenia,1996,7.575126,,,,,,,
Australia,1981,9.090347,,,,,,,
Australia,1985,,8.942214,,,,,,
Australia,1989,,,9.001375,,,,,
Australia,1995,,,,8.972099,,,,
Australia,2001,,,,8.929755,,,,
Australia,2003,,,,8.894689,,,,
Australia,2004,,,,8.857005,,,,
Australia,2008,,,,8.574595,,,,
Australia,2010,,,,8.708596,,,,
Australia,2014,,,,8.684821,,,,
Australia,2016,,,,8.860289,,,,
Australia,2018,,,,8.837858,,,,
Australia,2020,,,,8.921291,,,,
Austria,1994,,9.083956,,,,,,
Austria,1995,,9.246222,,,,,,
Austria,1996,,9.193512,,,,,,
Austria,1997,,9.161133,,,,,,
Austria,1998,,8.960347,,,,,,
Austria,1999,,9.265258,,,,,,
Austria,2000,,9.2754755,,,,,,
Austria,2003,,,9.212109,,,,,
Austria,2004,,,9.122528,,,,,
Austria,2005,,,9.279522,,,,,
Austria,2006,,,9.152397,,,,,
Austria,2007,,,9.243391,,,,,
Austria,2008,,,9.323942,,,,,
Austria,2009,,,9.263301,,,,,
Austria,2010,,,9.304698,,,,,
Austria,2011,,,9.302184,,,,,
Austria,2012,,,9.319979,,,,,
Austria,2013,,,9.164587,,,,,
Austria,2014,,,9.300574,,,,,
Austria,2015,,,9.409658,,,,,
Austria,2016,,,9.402996,,,,,
Austria,2017,,,9.461777,,,,,
Austria,2018,,,9.300338,,,,,
Austria,2019,,,9.337032,,,,,
Austria,2020,,,9.501065,,,,,
Austria,2021,,,9.415525,,,,,
Austria,2022,,,9.365486,,,,,
Austria,2023,,,9.307725,,,,,
Belarus,1993,9.6337595,,,,,,,
Belarus,1995,9.390812,,,,,,,
Belgium,1985,9.628842,,,,,,,
Belgium,1988,9.525583,,,,,,,
Belgium,1992,9.70778,,,,,,,
Belgium,1995,,9.32488,,,,,,
Belgium,1997,9.471484,,,,,,,
Belgium,2000,,8.605495,,,,,,
Belgium,2003,,,9.42044,,,,,
Belgium,2004,,,9.047955,,,,,
Belgium,2005,,,9.139363,,,,,
Belgium,2006,,,9.367226,,,,,
Belgium,2007,,,9.216144,,,,,
Belgium,2008,,,9.274419,,,,,
Belgium,2009,,,9.34182,,,,,
Belgium,2010,,,9.370705,,,,,
Belgium,2011,,,9.472891,,,,,
Belgium,2012,,,9.495666,,,,,
Belgium,2013,,,9.532512,,,,,
Belgium,2014,,,9.416807,,,,,
Belgium,2015,,,9.5225115,,,,,
Belgium,2016,,,9.532724,,,,,
Belgium,2017,,,9.519657,,,,,
Belgium,2018,,,9.403339,,,,,
Belgium,2019,,,9.3858385,,,,,
Belgium,2020,,,9.4698515,,,,,
Belgium,2021,,,9.4040985,,,,,
Belgium,2022,,,9.342576,,,,,
Belgium,2023,,,9.406127,,,,,
Belize,1993,5.5219674,,,,,,,
Belize,1994,5.325011,,,,,,,
Belize,1996,,,5.9213443,,,,,
Belize,1997,5.704185,,,,,,,
Belize,1998,6.3090034,,,,,,,
Belize,1999,6.661142,,,,,,,
Bolivia,1997,,6.221675,,,,,,
Bolivia,1999,,,6.7035728,,,,,
Bolivia,2000,,,,6.0437245,,,,
Bolivia,2001,,,,6.509558,,,,
Bolivia,2002,,,,6.1982656,,,,
Bolivia,2004,,,,,6.306014,,,
Bolivia,2005,,,,,,6.1167893,,
Bolivia,2006,,,,,,6.4013586,,
Bolivia,2007,,,,,,6.6681757,,
Bolivia,2008,,,,,,7.2636075,,
Bolivia,2009,,,,,,7.6773868,,
Bolivia,2011,,,,,,7.8705606,,
Bolivia,2012,,,,,,8.000665,,
Bolivia,2013,,,,,,7.757782,,
Bolivia,2014,,,,,,7.6227903,,
Bolivia,2015,,,,,,7.8156986,,
Bolivia,2016,,,,,,8.107432,,
Bolivia,2017,,,,,,8.196716,,
Bolivia,2018,,,,,,8.312177,,
Bolivia,2019,,,,,,8.2084465,,
Bolivia,2020,,,,,,7.921714,,
Bolivia,2021,,,,,,8.329739,,
Bolivia,2022,,,,,,8.336919,,
Bolivia,2023,,,,,,8.1093855,,
Bolivia (urban),1990,7.9679856,,,,,,,
Bolivia (urban),1992,6.876886,,,,,,,
Brazil,1981,5.887387,,,,,,,
Brazil,1982,5.825406,,,,,,,
Brazil,1983,5.6541,,,,,,,
Brazil,1984,5.7588763,,,,,,,
Brazil,1985,6.2460966,,,,,,,
Brazil,1986,5.8259015,,,,,,,
Brazil,1987,5.708479,,,,,,,
Brazil,1988,5.440971,,,,,,,
Brazil,1989,5.0940332,,,,,,,
Brazil,1990,5.524276,,,,,,,
Brazil,1992,6.908226,,,,,,,
Brazil,1993,5.6862106,,,,,,,
Brazil,1995,5.6513615,,,,,,,
Brazil,1996,5.6599746,,,,,,,
Brazil,1997,5.665509,,,,,,,
Brazil,1998,5.6514935,,,,,,,
Brazil,1999,5.74878,,,,,,,
Brazil,2001,5.9609523,,,,,,,
Brazil,2002,5.951792,,,,,,,
Brazil,2003,6.071737,,,,,,,
Brazil,2004,6.1993966,,,,,,,
Brazil,2005,6.240569,,,,,,,
Brazil,2006,6.3011303,,,,,,,
Brazil,2007,6.5189123,,,,,,,
Brazil,2008,6.6156497,,,,,,,
Brazil,2009,6.6763954,,,,,,,
Brazil,2011,6.8340793,,,,,,,
Brazil,2012,,6.673988,,,,,,
Brazil,2013,,6.760286,,,,,,
Brazil,2014,,6.7921863,,,,,,
Brazil,2015,,6.8673186,,,,,,
