country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,3.8817883,,,,,,,,,,,,,,,
Albania,2002,,3.5234532,,,,,,,,,,,,,,
Albania,2005,,3.487046,,,,,,,,,,,,,,
Albania,2008,,3.7382982,,,,,,,,,,,,,,
Albania,2012,,3.6604352,,,,,,,,,,,,,,
Albania,2014,,,2.8540807,,,,,,,,,,,,,
Albania,2015,,,3.1547363,,,,,,,,,,,,,
Albania,2016,,,2.9695864,,,,,,,,,,1.8382741,,,
Albania,2017,,,3.0917737,,,,,,,,,,1.8980408,,,
Albania,2018,,,,3.1707358,,,,,,,,,2.1491022,,,
Albania,2019,,,,3.5359826,,,,,,,,,,,,
Albania,2020,,,,3.4180198,,,,,,,,,,,,
Algeria,1988,2.8285174,,,,,,,,,,,,,,,
Algeria,1995,,2.8715694,,,,,,,,,,,,,,
Algeria,2011,,,4.0460215,,,,,,,,,,,,,
Angola,2000,0.990998,,,,,,,,,,,,,,,
Angola,2008,,2.0722704,,,,,,,,,,,,,,
Angola,2018,,,1.3346549,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,2.0098562,,,,,,,
Argentina (urban),1986,,,,,,,,,1.7775245,,,,,,,
Argentina (urban),1987,,,,,,,,,1.5683744,,,,,,,
Argentina (urban),1991,,,,,,,,,1.7507448,,,,,,,
Argentina (urban),1992,,,,,,,,,,1.6106317,,,,,,
Argentina (urban),1993,,,,,,,,,,1.4935488,,,,,,
Argentina (urban),1994,,,,,,,,,,1.5096902,,,,,,
Argentina (urban),1995,,,,,,,,,,1.1502411,,,,,,
Argentina (urban),1996,,,,,,,,,,1.0571455,,,,,,
Argentina (urban),1997,,,,,,,,,,1.0994912,,,,,,
Argentina (urban),1998,,,,,,,,,,,1.0789993,,,,,
Argentina (urban),1999,,,,,,,,,,,1.0884708,,,,,
Argentina (urban),2000,,,,,,,,,,,0.9657948,,,,,
Argentina (urban),2001,,,,,,,,,,,0.6856288,,,,,
Argentina (urban),2002,,,,,,,,,,,0.89554584,,,,,
Argentina (urban),2003,,,,,,,,,,,,1.0675478,,,,
Argentina (urban),2004,,,,,,,,,,,,1.1980748,,,,
Argentina (urban),2005,,,,,,,,,,,,1.2544285,,,,
Argentina (urban),2006,,,,,,,,,,,,1.2867053,,,,
Argentina (urban),2007,,,,,,,,,,,,1.3920509,,,,
Argentina (urban),2008,,,,,,,,,,,,1.4039694,,,,
Argentina (urban),2009,,,,,,,,,,,,1.4450953,,,,
Argentina (urban),2010,,,,,,,,,,,,1.5853424,,,,
Argentina (urban),2011,,,,,,,,,,,,1.7040349,,,,
Argentina (urban),2012,,,,,,,,,,,,1.7337557,,,,
Argentina (urban),2013,,,,,,,,,,,,1.7712206,,,,
Argentina (urban),2014,,,,,,,,,,,,1.8167654,,,,
Argentina (urban),2016,,,,,,,,,,,,1.7404023,,,,
Argentina (urban),2017,,,,,,,,,,,,1.7549101,,,,
Argentina (urban),2018,,,,,,,,,,,,1.7158391,,,,
Argentina (urban),2019,,,,,,,,,,,,1.6201293,,,,
Argentina (urban),2020,,,,,,,,,,,,1.7139233,,,,
Argentina (urban),2021,,,,,,,,,,,,1.7948574,,,,
Argentina (urban),2022,,,,,,,,,,,,2.0078092,,,,
Argentina (urban),2023,,,,,,,,,,,,1.8959882,,,,
Argentina (urban),2024,,,,,,,,,,,,1.9226784,,,,
Armenia,1996,,,,,,,,,2.2959633,,,,,,,
Armenia,1999,,3.0441494,,,,,,,,,,,,,,
Armenia,2001,,3.1956956,,,,,,,,,,,,,,
Armenia,2002,,3.3374891,,,,,,,,,,,,,,
Armenia,2003,,3.685018,,,,,,,,,,,,,,
