country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,14.009768,,,,,,,,,,,,,,,
Albania,2002,,14.888265,,,,,,,,,,,,,,
Albania,2005,,16.43014,,,,,,,,,,,,,,
Albania,2008,,17.503983,,,,,,,,,,,,,,
Albania,2012,,17.042887,,,,,,,,,,,,,,
Albania,2014,,,20.279427,,,,,,,,,,,,,
Albania,2015,,,23.84755,,,,,,,,,,,,,
Albania,2016,,,24.637026,,,,,,,,,,20.59987,,,
Albania,2017,,,24.178703,,,,,,,,,,21.076845,,,
Albania,2018,,,,24.819462,,,,,,,,,21.850815,,,
Albania,2019,,,,25.424175,,,,,,,,,,,,
Albania,2020,,,,25.672035,,,,,,,,,,,,
Algeria,1988,14.290602,,,,,,,,,,,,,,,
Algeria,1995,,14.864154,,,,,,,,,,,,,,
Algeria,2011,,,17.06644,,,,,,,,,,,,,
Angola,2000,16.473812,,,,,,,,,,,,,,,
Angola,2008,,14.269852,,,,,,,,,,,,,,
Angola,2018,,,12.165963,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,69.41375,,,,,,,
Argentina (urban),1986,,,,,,,,,76.21911,,,,,,,
Argentina (urban),1987,,,,,,,,,69.84132,,,,,,,
Argentina (urban),1991,,,,,,,,,47.79553,,,,,,,
Argentina (urban),1992,,,,,,,,,,51.656326,,,,,,
Argentina (urban),1993,,,,,,,,,,51.06977,,,,,,
Argentina (urban),1994,,,,,,,,,,50.068604,,,,,,
Argentina (urban),1995,,,,,,,,,,51.0475,,,,,,
Argentina (urban),1996,,,,,,,,,,48.905502,,,,,,
Argentina (urban),1997,,,,,,,,,,52.680206,,,,,,
Argentina (urban),1998,,,,,,,,,,,50.09986,,,,,
Argentina (urban),1999,,,,,,,,,,,48.348385,,,,,
Argentina (urban),2000,,,,,,,,,,,47.78969,,,,,
Argentina (urban),2001,,,,,,,,,,,45.457436,,,,,
Argentina (urban),2002,,,,,,,,,,,30.635906,,,,,
Argentina (urban),2003,,,,,,,,,,,,42.448215,,,,
Argentina (urban),2004,,,,,,,,,,,,46.27064,,,,
Argentina (urban),2005,,,,,,,,,,,,49.598713,,,,
Argentina (urban),2006,,,,,,,,,,,,54.007755,,,,
Argentina (urban),2007,,,,,,,,,,,,56.163216,,,,
Argentina (urban),2008,,,,,,,,,,,,56.853046,,,,
Argentina (urban),2009,,,,,,,,,,,,58.456036,,,,
Argentina (urban),2010,,,,,,,,,,,,60.06913,,,,
Argentina (urban),2011,,,,,,,,,,,,63.911625,,,,
Argentina (urban),2012,,,,,,,,,,,,62.175617,,,,
Argentina (urban),2013,,,,,,,,,,,,62.35386,,,,
Argentina (urban),2014,,,,,,,,,,,,58.80497,,,,
Argentina (urban),2016,,,,,,,,,,,,60.670235,,,,
Argentina (urban),2017,,,,,,,,,,,,63.038628,,,,
Argentina (urban),2018,,,,,,,,,,,,56.8119,,,,
Argentina (urban),2019,,,,,,,,,,,,56.093132,,,,
Argentina (urban),2020,,,,,,,,,,,,49.74489,,,,
Argentina (urban),2021,,,,,,,,,,,,52.001858,,,,
Argentina (urban),2022,,,,,,,,,,,,49.852676,,,,
