country,year,mean,median,mld,gini,polarization,decile1_share,decile2_share,decile3_share,decile4_share,decile5_share,decile6_share,decile7_share,decile8_share,decile9_share,decile10_share,decile1_thr,decile2_thr,decile3_thr,decile4_thr,decile5_thr,decile6_thr,decile7_thr,decile8_thr,decile9_thr,headcount_40_median,headcount_50_median,headcount_60_median,headcount_ratio_40_median,headcount_ratio_50_median,headcount_ratio_60_median,income_gap_ratio_40_median,income_gap_ratio_50_median,income_gap_ratio_60_median,poverty_gap_index_40_median,poverty_gap_index_50_median,poverty_gap_index_60_median,avg_shortfall_40_median,avg_shortfall_50_median,avg_shortfall_60_median,total_shortfall_40_median,total_shortfall_50_median,total_shortfall_60_median,spl,spr,pg,cpi,ppp,headcount_100,headcount_1000,headcount_2000,headcount_300,headcount_3000,headcount_4000,headcount_420,headcount_500,headcount_700,headcount_830,headcount_ratio_100,headcount_ratio_1000,headcount_ratio_2000,headcount_ratio_300,headcount_ratio_3000,headcount_ratio_4000,headcount_ratio_420,headcount_ratio_500,headcount_ratio_700,headcount_ratio_830,income_gap_ratio_100,income_gap_ratio_1000,income_gap_ratio_2000,income_gap_ratio_300,income_gap_ratio_3000,income_gap_ratio_4000,income_gap_ratio_420,income_gap_ratio_500,income_gap_ratio_700,income_gap_ratio_830,poverty_gap_index_100,poverty_gap_index_1000,poverty_gap_index_2000,poverty_gap_index_300,poverty_gap_index_3000,poverty_gap_index_4000,poverty_gap_index_420,poverty_gap_index_500,poverty_gap_index_700,poverty_gap_index_830,avg_shortfall_100,avg_shortfall_1000,avg_shortfall_2000,avg_shortfall_300,avg_shortfall_3000,avg_shortfall_4000,avg_shortfall_420,avg_shortfall_500,avg_shortfall_700,avg_shortfall_830,total_shortfall_100,total_shortfall_1000,total_shortfall_2000,total_shortfall_300,total_shortfall_3000,total_shortfall_4000,total_shortfall_420,total_shortfall_500,total_shortfall_700,total_shortfall_830,decile1_avg,decile2_avg,decile3_avg,decile4_avg,decile5_avg,decile6_avg,decile7_avg,decile8_avg,decile9_avg,decile10_avg,bottom50_share,middle40_share,palma_ratio,s80_s20_ratio,p90_p10_ratio,p90_p50_ratio,p50_p10_ratio,top1_thr,top1_share,top1_avg,top90_99_share
Albania,2016,10.582677,8.656102,0.27372006,0.38565573,0.3503601,1.8382741,3.485251,4.7918267,6.081378,7.3589764,8.86715,10.568543,12.920814,16.630312,27.457472,2.9522858,4.3984137,5.754005,7.065115,8.656102,10.2845745,12.206449,15.273159,20.59987,381118,562922,747355,13.251196,19.572384,25.985014,34.89057,35.753826,36.842354,4.6234207,6.997882,9.573487,1.2080654,1.5474439,1.9134669,460415.47,871090.2,1430039.1,5.628,0.29491568,4.958164,0.91388565,50.772305,43774,1684484,2566023,297688,2781112,2846754,524360,696163,1125509,1387293,1.5220032,58.568306,89.21881,10.350388,96.697296,98.97964,18.23161,24.205109,39.13316,48.23521,26.130241,43.900826,57.87099,34.010204,67.956375,74.58557,36.329872,37.108913,39.657246,41.478817,0.39769992,25.711975,51.63181,3.5201926,65.71198,73.82452,6.6235266,8.982248,15.519131,20.00739,0.2613024,4.3900824,11.574199,1.0203061,20.386913,29.834229,1.5258546,1.8554456,2.7760072,3.4427419,11438.252,7395023.5,29699660.0,303732.88,56698290.0,84930709,800097.06,1291692.6,3124421.0,4776092.0,1.945386,3.6883283,5.0710354,6.435726,7.787767,9.383819,11.184348,13.673679,17.599323,29.057356,23.555706,48.98682,1.6952479,8.281691,6.9776006,2.3798091,2.9320002,40.16707,4.8423834,51.245377,22.61509
Albania,2017,11.078833,9.263285,0.25417492,0.37095127,0.33253664,1.8980408,3.644852,5.0092096,6.3295774,7.6485844,9.074706,10.650763,12.906684,16.389803,26.447783,3.1880069,4.8303404,6.386422,7.6685195,9.263285,10.842134,12.935862,15.759103,21.076845,371601,538794,725421,12.9322,18.75074,25.245588,35.066612,36.117275,36.888134,4.534882,6.7722507,9.312625,1.2993281,1.672823,2.0502317,482831.6,901307.0,1487281.2,5.932,0.27604854,4.5455546,0.93204147,50.772305,28916,1568870,2542984,254824,2780945,2847039,460599,607929,1013353,1256745,1.0063288,54.598694,88.499115,8.868198,96.78045,99.08063,16.029428,21.15671,35.266,43.736343,25.184025,42.12297,55.70676,34.20115,66.14055,73.24046,35.431625,36.58563,38.305424,40.256878,0.25343037,22.998592,49.29999,3.0330272,64.01113,72.56711,5.6794906,7.740316,13.508786,17.606886,0.25184023,4.212297,11.141353,1.0260345,19.842165,29.296186,1.4881282,1.8292814,2.6813798,3.341321,7282.2124,6608546.5,28332280.0,261458.2,55179972.0,83407382,685430.4,1112073.2,2717184.2,4199188.5,2.1028078,4.0380707,5.5496197,7.012433,8.473739,10.053715,11.799802,14.299099,18.157988,29.301054,24.530264,49.021954,1.5666558,7.72838,6.6112924,2.27531,2.9056664,39.494144,4.561583,50.537014,21.886198
Albania,2018,11.596249,9.7897415,0.23305129,0.3598875,0.31924504,2.1491022,3.855021,5.145279,6.393462,7.7324686,9.130076,10.673536,12.676547,16.268297,25.976212,3.64982,5.1714234,6.695876,8.212928,9.7897415,11.471568,13.423385,16.433159,21.850815,328416,506630,698293,11.457549,17.674925,24.361519,32.31949,32.997475,34.483368,3.7030165,5.832281,8.400676,1.2655978,1.6151837,2.0254996,415642.56,818300.5,1414392.2,6.195,0.26400393,4.062999,0.95094377,50.772305,17652,1475674,2499488,188908,2764121,2836371,375074,531420,919920,1164387,0.6158349,51.482235,87.20029,6.5904684,96.43259,98.95321,13.085302,18.539803,32.093506,40.622284,20.254345,40.23695,54.14214,31.645359,64.67761,72.0208,32.64283,32.903416,36.119858,38.155403,0.124732316,20.714874,47.2121,2.0855818,62.370308,71.26689,4.2714133,6.100223,11.592122,15.49959,0.20254345,4.023695,10.828428,0.9493608,19.403284,28.80832,1.3709987,1.6451708,2.5283902,3.1668985,3575.297,5937662.0,27065526.0,179341.84,53633024.0,81711080,514226.0,874276.7,2325916.8,3687495.2,2.4921522,4.470378,5.9665933,7.414018,8.9667635,10.587463,12.377298,14.70004,18.865122,30.12266,25.275333,48.748455,1.480728,7.0359163,5.9868197,2.2320113,2.6822531,40.360672,4.336957,50.292435,21.639254
Argentina (urban),1980,35.479446,27.129507,0.28791758,0.4083086,0.3729186,2.0098562,3.2864354,4.4929876,5.697859,6.9689035,8.394564,10.122462,12.4679985,16.383562,30.17537,9.459183,13.820325,18.060026,22.408941,27.129507,32.6074,39.55864,49.707756,69.41375,3047359,4501733,5990469,13.124999,19.389,25.801,27.636353,31.70992,34.476616,3.6272717,6.148237,8.895311,2.9990425,4.3013725,5.6120014,9139159.0,19363630.0,33618520.0,14.865,0.22458,1.3941092,0.01263222,42.98624,0,2601806,8015773,0,12879706,16377725,0,133503,1085672,1730900,0.0,11.206,34.524,0.0,55.473,70.539,0.0,0.575,4.676,7.4550004,,25.894083,37.232353,,42.73829,47.7189,,2.8860762,16.18188,21.288528,0.0,2.901691,12.854097,0.0,23.708212,33.66043,0.0,0.016594896,0.7566645,1.5870599,,2.5894084,7.4464703,,12.821487,19.087559,,0.14430381,1.1327317,1.7669479,0.0,6737138.0,59689216.0,0.0,165136980.0,312610793,0.0,19264.992,1229775.1,3058410.0,7.130859,11.660091,15.940871,20.215687,24.725285,29.783447,35.913937,44.235767,58.127975,107.06054,22.456041,47.368587,1.9484148,8.790855,7.3382397,2.558607,2.8680604,164.14938,5.5731564,197.73251,24.602213
Argentina (urban),1986,38.42675,27.716042,0.3465159,0.42797506,0.38463396,1.7775245,3.3569336,4.3552513,5.5175767,6.663982,7.9847827,9.733443,12.092693,16.327005,32.190807,10.718312,14.5273,18.8973,23.437378,27.716042,34.10372,40.924465,51.967575,76.21911,2780383,4701135,6495930,10.560836,17.856506,24.673744,36.512123,32.62741,34.226883,3.855986,5.8261156,8.445054,4.0478864,4.5215135,5.6918025,11254674.0,21256246.0,36973550.0,15.158,0.21593885,2.3973193,0.0032377935,42.98624,290192,2329735,8591624,332967,14221117,18155451,559812,604642,1131417,1573518,1.1022475,8.849125,32.633904,1.2647202,54.016624,68.960556,2.126355,2.2966363,4.2975073,5.9767547,71.999985,36.384815,36.287872,80.78288,41.46768,46.655853,55.43535,58.501354,44.17553,40.176712,0.79361814,3.2197375,11.842149,1.0216786,22.399443,32.174137,1.1787528,1.3435628,1.8984457,2.4012637,0.71999985,3.6384816,7.2575746,2.4234865,12.440305,18.66234,2.3282845,2.9250677,3.092287,3.3346672,208938.2,8476698.0,62354350.0,806941.0,176915040.0,338823213,1303401.6,1768618.8,3498666.0,5247158.5,6.830449,12.899605,16.735815,21.202253,25.607517,30.682924,37.402462,46.46829,62.739376,123.698814,21.671268,46.137924,2.145012,9.449451,7.111111,2.7499998,2.5858588,194.87842,7.438262,285.82825,24.752546
Argentina (urban),1987,35.12409,24.42986,0.3807623,0.4526729,0.41031843,1.5683744,3.0154684,4.1190906,5.191436,6.345039,7.7232985,9.515465,11.9496155,16.330328,34.241886,8.424089,12.763772,16.337627,20.217813,24.42986,30.18632,37.01494,47.736507,69.84132,3456657,5029734,6902475,12.868307,18.724493,25.69626,35.6035,36.541172,36.571106,4.5815673,6.8421497,9.397407,3.479154,4.4634786,5.360562,12026242.0,22450110.0,37001144.0,13.515,0.22809096,2.362486,0.0074901395,42.98624,211674,3580527,10504182,399474,16060603,19623375,569003,894874,1911309,2587263,0.7880118,13.329443,39.104553,1.4871476,59.789776,73.05312,2.1182628,3.3314004,7.115344,9.631759,72.00002,35.85432,39.914536,60.93948,45.60356,50.9396,55.055923,42.670017,34.641167,34.976334,0.5673685,4.7791815,15.6084,0.906259,27.266268,37.21297,1.1662285,1.4215096,2.4648387,3.3688366,0.7200002,3.585432,7.982907,1.8281844,13.681068,20.375841,2.3123486,2.1335008,2.4248817,2.9030359,152405.33,12837736.0,83853900.0,730312.1,219726200.0,399842773,1315733.2,1909214.5,4634698.0,7510917.0,5.508772,10.591558,14.467931,18.234444,22.286371,27.127382,33.422203,41.971935,57.358784,120.2715,20.239408,45.518707,2.4644432,11.032711,8.290667,2.8588505,2.9,190.19722,8.260831,290.15414,25.981054
Argentina (urban),1991,24.924353,16.51407,0.38867122,0.46754274,0.405789,1.7507448,3.0553017,4.058625,4.9992466,6.0608697,7.2388945,8.896019,11.411486,15.922445,36.60637,6.252322,8.892191,11.115239,13.894049,16.51407,20.007431,25.009289,33.34572,47.79553,3167541,4995461,6879460,10.915272,17.214241,23.706455,31.459259,32.517265,34.31575,3.4338634,5.5976005,8.135048,2.0780816,2.684962,3.4001563,6582409.0,13412624.0,23391240.0,9.557,0.22413403,2.6727378,75.689,42.98624,152444,6901153,17241744,371912,22361649,24636627,1133699,1598576,3667433,5017874,0.5253178,23.78121,59.414642,1.2815984,77.05772,84.89723,3.9066985,5.508654,12.637886,17.291475,64.39564,34.799976,44.02052,55.32204,52.81012,59.97282,30.68604,32.54076,30.95353,32.69682,0.33828214,8.275855,26.154634,0.70900726,40.69427,50.915264,1.1988115,1.7925583,3.9118721,5.6537623,0.64395636,3.4799976,8.804104,1.6596613,15.843036,23.989128,1.2888137,1.627038,2.166747,2.7138362,98167.28,24015996.0,151798110.0,617247.94,354276380.0,591011199,1461126.8,2600944.0,7946400.0,13617688.0,4.3636184,7.615142,10.115861,12.4602995,15.106325,18.042477,22.17275,28.44239,39.685665,91.239006,19.924788,43.468845,2.6404057,10.929734,7.6444445,2.8942306,2.64127,138.94049,10.709188,266.9196,25.89718
Argentina (urban),1992,25.136711,17.271112,0.38059014,0.45454842,0.42753306,1.6106317,3.000314,4.070204,5.1215944,6.2101474,7.656885,9.413033,12.072227,16.561102,34.283863,6.4231405,8.792565,11.723421,14.130909,17.271112,21.353374,26.377697,34.856243,51.656326,3645935,5793285,7507932,12.360784,19.640926,25.45408,34.18662,33.574635,36.264725,4.2257338,6.594369,9.230851,2.361764,2.8993564,3.7579927,8610838.0,16796798.0,28214754.0,9.936,0.24136814,3.0562603,0.008930438,42.98624,289925,7257872,16871444,735617,22070918,24879627,1320616,1838250,3684420,5276404,0.98293054,24.6063,57.199116,2.4939559,74.82685,84.34919,4.4772735,6.2322035,12.491257,17.888548,65.12288,35.19421,44.292576,50.315754,52.45733,58.60209,42.582474,39.445972,34.67022,34.15429,0.6401125,8.659994,25.33496,1.2548529,39.252167,49.43039,1.9065337,2.4583533,4.3307467,6.1097064,0.65122885,3.519421,8.858515,1.5094726,15.737199,23.440836,1.7884638,1.9722986,2.4269154,2.834806,188807.52,25543508.0,149455940.0,1110393.8,347334400.0,583199255,2361874.0,3625578.0,8941776.0,14957582.0,4.0485983,7.5418024,10.2311535,12.874003,15.610269,19.246891,23.661266,30.345606,41.62916,86.17836,20.012892,45.703243,2.4838443,11.027015,8.042223,2.990909,2.688889,131.88849,7.643509,192.13268,26.640356
Argentina (urban),1993,25.189575,17.652037,0.37757483,0.44843096,0.42186034,1.4935488,2.9657412,4.098927,5.2187867,6.416788,7.896989,9.669828,12.345169,16.709213,33.18501,6.0570717,8.679181,11.79949,14.421599,17.652037,21.632399,27.40104,35.39847,51.06977,4079871,6023778,7832182,13.613324,20.099566,26.133675,36.452152,36.216965,37.769257,4.9623494,7.279453,9.870495,2.573819,3.196516,4.000226,10500849.0,19255102.0,31330496.0,10.126,0.24296264,3.0847888,0.009722701,42.98624,284331,7156690,16527668,872868,22147408,25082737,1545961,2120336,4076437,5209865,0.9487288,23.879759,55.14794,2.912502,73.89935,83.69368,5.1584134,7.0749326,13.601864,17.383778,66.235664,37.655785,45.06632,47.47476,52.068172,58.14565,41.830723,39.630684,35.938168,37.740276,0.62839663,8.99211,24.853148,1.3827034,38.478043,48.66423,2.157802,2.8038447,4.888261,6.560686,0.6623567,3.7655785,9.013264,1.4242427,15.620451,23.258259,1.7568903,1.9815341,2.5156715,3.132443,188328.53,26949078.0,148968240.0,1243175.9,345952500.0,583380795,2716083.8,4201518.0,10254977.0,16319605.0,3.7621858,7.470576,10.325023,13.145902,16.163616,19.89218,24.357887,31.096958,42.089798,83.59163,20.19379,46.6212,2.4087248,11.188827,8.431429,2.8931377,2.9142857,122.09326,7.5000324,188.92264,25.684977
Argentina (urban),1994,24.886272,17.068842,0.39611414,0.4589804,0.42719185,1.5096902,2.8806026,3.9567106,5.0678225,6.3134828,7.7171893,9.498922,12.105833,16.516068,34.43368,5.841337,8.344768,11.379228,13.977485,17.068842,20.937778,26.425097,34.099754,50.068604,4268112,6309177,8096701,14.018618,20.722494,26.59362,34.185802,34.76234,37.214474,4.7923765,7.2036242,9.896675,2.3340483,2.9667645,3.8112478,9961979.0,18717842.0,30858534.0,9.834,0.24700782,3.38777,0.010081784,42.98624,371187,7566353,17185172,823949,22702131,25731366,1639896,2066787,4424493,5629373,1.2191643,24.851692,56.44471,2.7062604,74.56516,84.51469,5.3862395,6.788364,14.53225,18.48968,68.91821,38.252747,45.96655,55.200138,53.19264,58.9632,39.82131,40.812294,34.54893,37.024185,0.840226,9.506454,25.945684,1.4938599,39.663177,49.832565,2.144871,2.7704868,5.020737,6.845653,0.6891821,3.8252745,9.19331,1.6560042,15.957791,23.58528,1.6724949,2.0406148,2.4184253,3.0730073,255815.44,28943378.0,157988600.0,1364463.0,362275870.0,606881462,2742717.8,4217516.0,10700306.0,17299104.0,3.7570562,7.1687465,9.846778,12.61192,15.711905,19.205208,23.639277,30.126905,41.102333,85.6926,19.728308,45.838013,2.5668378,11.605091,8.571428,2.9333334,2.922078,133.51628,8.114221,201.93271,26.31946
