country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,1856845,,,,,,,,,,,,,,,
Albania,2002,,1860622,,,,,,,,,,,,,,
Albania,2005,,1505531,,,,,,,,,,,,,,
Albania,2008,,1280414,,,,,,,,,,,,,,
Albania,2012,,1331294,,,,,,,,,,,,,,
Albania,2014,,,1343223,,,,,,,,,,,,,
Albania,2015,,,944027,,,,,,,,,,,,,
Albania,2016,,,945425,,,,,,,,,,1387293,,,
Albania,2017,,,938568,,,,,,,,,,1256745,,,
Albania,2018,,,,691578,,,,,,,,,1164387,,,
Albania,2019,,,,613498,,,,,,,,,,,,
Albania,2020,,,,565560,,,,,,,,,,,,
Algeria,1988,16328665,,,,,,,,,,,,,,,
Algeria,1995,,18561995,,,,,,,,,,,,,,
Algeria,2011,,,15490615,,,,,,,,,,,,,
Angola,2000,11370906,,,,,,,,,,,,,,,
Angola,2008,,15775762,,,,,,,,,,,,,,
Angola,2018,,,25185311,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,1730900,,,,,,,
Argentina (urban),1986,,,,,,,,,1573518,,,,,,,
Argentina (urban),1987,,,,,,,,,2587263,,,,,,,
Argentina (urban),1991,,,,,,,,,5017874,,,,,,,
Argentina (urban),1992,,,,,,,,,,5276404,,,,,,
Argentina (urban),1993,,,,,,,,,,5209865,,,,,,
Argentina (urban),1994,,,,,,,,,,5629373,,,,,,
Argentina (urban),1995,,,,,,,,,,7407369,,,,,,
Argentina (urban),1996,,,,,,,,,,8110576,,,,,,
Argentina (urban),1997,,,,,,,,,,7892049,,,,,,
Argentina (urban),1998,,,,,,,,,,,8725843,,,,,
Argentina (urban),1999,,,,,,,,,,,9162504,,,,,
Argentina (urban),2000,,,,,,,,,,,10261353,,,,,
Argentina (urban),2001,,,,,,,,,,,11516314,,,,,
Argentina (urban),2002,,,,,,,,,,,16700889,,,,,
Argentina (urban),2003,,,,,,,,,,,,11393886,,,,
Argentina (urban),2004,,,,,,,,,,,,9962926,,,,
Argentina (urban),2005,,,,,,,,,,,,8649887,,,,
Argentina (urban),2006,,,,,,,,,,,,7122197,,,,
Argentina (urban),2007,,,,,,,,,,,,6821948,,,,
Argentina (urban),2008,,,,,,,,,,,,6110628,,,,
Argentina (urban),2009,,,,,,,,,,,,5633397,,,,
Argentina (urban),2010,,,,,,,,,,,,5091674,,,,
Argentina (urban),2011,,,,,,,,,,,,4301110,,,,
Argentina (urban),2012,,,,,,,,,,,,3963257,,,,
Argentina (urban),2013,,,,,,,,,,,,4034017,,,,
Argentina (urban),2014,,,,,,,,,,,,4600087,,,,
Argentina (urban),2016,,,,,,,,,,,,4636391,,,,
Argentina (urban),2017,,,,,,,,,,,,3989074,,,,
Argentina (urban),2018,,,,,,,,,,,,5132050,,,,
Argentina (urban),2019,,,,,,,,,,,,6163419,,,,
Argentina (urban),2020,,,,,,,,,,,,7609132,,,,
Argentina (urban),2021,,,,,,,,,,,,5930851,,,,
Argentina (urban),2022,,,,,,,,,,,,5826306,,,,
Argentina (urban),2023,,,,,,,,,,,,6924383,,,,
Argentina (urban),2024,,,,,,,,,,,,6422363,,,,
Armenia,1996,,,,,,,,,2367378,,,,,,,
Armenia,1999,,2672230,,,,,,,,,,,,,,
Armenia,2001,,2744739,,,,,,,,,,,,,,
Armenia,2002,,2708576,,,,,,,,,,,,,,
Armenia,2003,,2701948,,,,,,,,,,,,,,
Armenia,2004,,2410089,,,,,,,,,,,,,,
Armenia,2005,,2225660,,,,,,,,,,,,,,
Armenia,2006,,2088821,,,,,,,,,,,,,,
Armenia,2007,,1854974,,,,,,,,,,,,,,
Armenia,2008,,1736712,,,,,,,,,,,,,,
Armenia,2009,,1992237,,,,,,,,,,,,,,
Armenia,2010,,2008766,,,,,,,,,,,,,,
Armenia,2011,,1908533,,,,,,,,,,,,,,
Armenia,2012,,1802771,,,,,,,,,,,,,,
Armenia,2013,,1735224,,,,,,,,,,,,,,
Armenia,2014,,1662559,,,,,,,,,,,,,,
Armenia,2015,,1522288,,,,,,,,,,,,,,
Armenia,2016,,1372553,,,,,,,,,,,,,,
Armenia,2017,,1571284,,,,,,,,,,,,,,
Armenia,2018,,1566320,,,,,,,,,,,,,,
Armenia,2019,,,1691826,,,,,,,,,,,,,
Armenia,2020,,,1722243,,,,,,,,,,,,,
Armenia,2021,,,1688104,,,,,,,,,,,,,
Armenia,2022,,,1654056,,,,,,,,,,,,,
Armenia,2023,,,1687777,,,,,,,,,,,,,
Australia,1981,,,,,,,,,298382,,,,,,,
Australia,1985,,,,,,,,,,320734,,,,,,
Australia,1989,,,,,,,,,,,377902,,,,,
Australia,1995,,,,,,,,,,,,358587,,,,
Australia,2001,,,,,,,,,,,,331670,,,,
Australia,2003,,,,,,,,,,,,391757,,,,
Australia,2004,,,,,,,,,,,,248733,,,,
Australia,2008,,,,,,,,,,,,213881,,,,
Australia,2010,,,,,,,,,,,,222105,,,,
Australia,2014,,,,,,,,,,,,234049,,,,
Australia,2016,,,,,,,,,,,,239273,,,,
Australia,2018,,,,,,,,,,,,311906,,,,
Australia,2020,,,,,,,,,,,,384108,,,,
Austria,1994,,,,,,,,,,79322,,,,,,
Austria,1995,,,,,,,,,,79057,,,,,,
Austria,1996,,,,,,,,,,39216,,,,,,
Austria,1997,,,,,,,,,,57994,,,,,,
Austria,1998,,,,,,,,,,79487,,,,,,
Austria,1999,,,,,,,,,,39746,,,,,,
Austria,2000,,,,,,,,,,51695,,,,,,
Austria,2003,,,,,,,,,,,54187,,,,,
Austria,2004,,,,,,,,,,,34627,,,,,
Austria,2005,,,,,,,,,,,41552,,,,,
Austria,2006,,,,,,,,,,,39372,,,,,
Austria,2007,,,,,,,,,,,65367,,,,,
Austria,2008,,,,,,,,,,,82615,,,,,
Austria,2009,,,,,,,,,,,85246,,,,,
Austria,2010,,,,,,,,,,,68949,,,,,
Austria,2011,,,,,,,,,,,86651,,,,,
Austria,2012,,,,,,,,,,,90172,,,,,
Austria,2013,,,,,,,,,,,58026,,,,,
Austria,2014,,,,,,,,,,,63157,,,,,
Austria,2015,,,,,,,,,,,100265,,,,,
Austria,2016,,,,,,,,,,,115922,,,,,
Austria,2017,,,,,,,,,,,60631,,,,,
Austria,2018,,,,,,,,,,,101820,,,,,
Austria,2019,,,,,,,,,,,75717,,,,,
Austria,2020,,,,,,,,,,,95430,,,,,
Austria,2021,,,,,,,,,,,101837,,,,,
Austria,2022,,,,,,,,,,,98834,,,,,
Austria,2023,,,,,,,,,,,92576,,,,,
Azerbaijan,1995,6159612,,,,,,,,,,,,,,,
Azerbaijan,2001,,5926995,,,,,,,,,,,,,,
Azerbaijan,2002,,4389852,,,,,,,,,,,,,,
Azerbaijan,2003,,4020158,,,,,,,,,,,,,,
Azerbaijan,2004,,3960578,,,,,,,,,,,,,,
Azerbaijan,2005,,3015427,,,,,,,,,,,,,,
Bangladesh,1983,94156827,,,,,,,,,,,,,,,
Bangladesh,1985,97541106,,,,,,,,,,,,,,,
Bangladesh,1988,104686268,,,,,,,,,,,,,,,
Bangladesh,1991,,111635894,,,,,,,,,,,,,,
Bangladesh,1995,,115558277,,,,,,,,,,,,,,
Bangladesh,2000,,,124208520,,,,,,,,,,,,,
Bangladesh,2005,,,130278126,,,,,,,,,,,,,
Bangladesh,2010,,,134827830,,,,,,,,,,,,,
Bangladesh,2016,,,137866505,,,,,,,,,,,,,
Bangladesh,2022,,,,121103583,,,,,,,,,,,,
Barbados,2016,44106,,,,,,,,,,,,,,,
Belarus,1993,,,,,,,,,8321071,,,,,,,
Belarus,1995,,,,,,,,,4743699,,,,,,,
Belarus,1998,,9406392,,,,,,,,,,,,,,
Belarus,1999,,9247149,,,,,,,,,,,,,,
Belarus,2000,,8921064,,,,,,,,,,,,,,
Belarus,2001,,7994167,,,,,,,,,,,,,,
Belarus,2002,,7504869,,,,,,,,,,,,,,
Belarus,2003,,7182017,,,,,,,,,,,,,,
Belarus,2004,,6272298,,,,,,,,,,,,,,
Belarus,2005,,4564245,,,,,,,,,,,,,,
Belarus,2006,,3526213,,,,,,,,,,,,,,
Belarus,2007,,2696089,,,,,,,,,,,,,,
Belarus,2008,,2285997,,,,,,,,,,,,,,
Belarus,2009,,2117607,,,,,,,,,,,,,,
Belarus,2010,,1710748,,,,,,,,,,,,,,
Belarus,2011,,1377605,,,,,,,,,,,,,,
Belarus,2012,,866809,,,,,,,,,,,,,,
Belarus,2013,,551948,,,,,,,,,,,,,,
Belarus,2014,,506990,,,,,,,,,,,,,,
Belarus,2015,,645570,,,,,,,,,,,,,,
Belarus,2016,,697900,,,,,,,,,,,,,,
Belarus,2017,,583119,,,,,,,,,,,,,,
Belarus,2018,,410303,,,,,,,,,,,,,,
Belarus,2019,,363580,,,,,,,,,,,,,,
Belarus,2020,,247910,,,,,,,,,,,,,,
Belgium,1985,,,,,,,,,73726,,,,,,,
Belgium,1988,,,,,,,,,94659,,,,,,,
Belgium,1992,,,,,,,,,119910,,,,,,,
Belgium,1995,,,,,,,,,,117088,,,,,,
Belgium,1997,,,,,,,,,99952,,,,,,,
Belgium,2000,,,,,,,,,,100251,,,,,,
Belgium,2003,,,,,,,,,,,94095,,,,,
Belgium,2004,,,,,,,,,,,43874,,,,,
Belgium,2005,,,,,,,,,,,57657,,,,,
Belgium,2006,,,,,,,,,,,46776,,,,,
Belgium,2007,,,,,,,,,,,44446,,,,,
Belgium,2008,,,,,,,,,,,35583,,,,,
Belgium,2009,,,,,,,,,,,37201,,,,,
Belgium,2010,,,,,,,,,,,53328,,,,,
Belgium,2011,,,,,,,,,,,69000,,,,,
Belgium,2012,,,,,,,,,,,52866,,,,,
Belgium,2013,,,,,,,,,,,59518,,,,,
Belgium,2014,,,,,,,,,,,30515,,,,,
Belgium,2015,,,,,,,,,,,26133,,,,,
Belgium,2016,,,,,,,,,,,35555,,,,,
Belgium,2017,,,,,,,,,,,40514,,,,,
Belgium,2018,,,,,,,,,,,23598,,,,,
Belgium,2019,,,,,,,,,,,26888,,,,,
Belgium,2020,,,,,,,,,,,32850,,,,,
Belgium,2021,,,,,,,,,,,29309,,,,,
Belgium,2022,,,,,,,,,,,20743,,,,,
Belgium,2023,,,,,,,,,,,30169,,,,,
Belize,1993,,,,,,,,,119870,,,,,,,
Belize,1994,,,,,,,,,129752,,,,,,,
Belize,1995,,98032,,,,,,,,,,,,,,
Belize,1996,,,,,,,,,,,148252,,,,,
