country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,19.316141,,,,,,,
Albania,2002,,20.60031,,,,,,
Albania,2005,,20.330582,,,,,,
Albania,2008,,14.507875,,,,,,
Albania,2012,,21.125864,,,,,,
Albania,2014,,,21.985828,,,,,
Albania,2015,,,18.692,,,,,
Albania,2016,,,17.525518,,,,,
Albania,2017,,,20.882233,,,,,
Albania,2018,,,,18.874905,,,,
Albania,2019,,,,15.088567,,,,
Albania,2020,,,,15.94081,,,,
Algeria,1988,27.707727,,,,,,,
Algeria,1995,,27.676365,,,,,,
Algeria,2011,,,8.909478,,,,,
Angola,2000,44.630733,,,,,,,
Angola,2008,,35.345543,,,,,,
Angola,2018,,,46.46501,,,,,
Armenia,1999,,29.995605,,,,,,
Armenia,2001,,30.242725,,,,,,
Armenia,2002,,27.788637,,,,,,
Armenia,2003,,24.71672,,,,,,
Armenia,2004,,24.496828,,,,,,
Armenia,2005,,21.989252,,,,,,
Armenia,2006,,21.426262,,,,,,
Armenia,2007,,20.20615,,,,,,
Armenia,2008,,18.658695,,,,,,
Armenia,2009,,18.110981,,,,,,
Armenia,2010,,18.226717,,,,,,
Armenia,2011,,19.017647,,,,,,
Armenia,2012,,19.733637,,,,,,
Armenia,2013,,21.18714,,,,,,
Armenia,2014,,20.311226,,,,,,
Armenia,2015,,21.815407,,,,,,
Armenia,2016,,20.095459,,,,,,
Armenia,2017,,20.190605,,,,,,
Armenia,2018,,21.947,,,,,,
Armenia,2019,,,19.239065,,,,,
Armenia,2020,,,18.02675,,,,,
Armenia,2021,,,18.038536,,,,,
Armenia,2022,,,17.569473,,,,,
Armenia,2023,,,18.988962,,,,,
Azerbaijan,1995,31.997755,,,,,,,
Azerbaijan,2001,,26.117895,,,,,,
Azerbaijan,2002,,12.193355,,,,,,
Azerbaijan,2003,,13.275467,,,,,,
Azerbaijan,2004,,10.103931,,,,,,
Azerbaijan,2005,,9.163378,,,,,,
Bangladesh,1983,35.28124,,,,,,,
Bangladesh,1985,32.685616,,,,,,,
Bangladesh,1988,37.241913,,,,,,,
Bangladesh,1991,,37.23358,,,,,,
Bangladesh,1995,,34.647766,,,,,,
Bangladesh,2000,,,34.8385,,,,,
Bangladesh,2005,,,31.057678,,,,,
Bangladesh,2010,,,28.510511,,,,,
Bangladesh,2016,,,26.654137,,,,,
