country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,17.258772,,,,,,,
Albania,2002,,18.726814,,,,,,
Albania,2005,,20.325966,,,,,,
Albania,2008,,16.53358,,,,,,
Albania,2012,,20.8615,,,,,,
Albania,2014,,,22.75876,,,,,
Albania,2015,,,21.488256,,,,,
Albania,2016,,,22.542297,,,,,
Albania,2017,,,21.469471,,,,,
Albania,2018,,,,23.764204,,,,
Albania,2019,,,,19.243792,,,,
Albania,2020,,,,22.02658,,,,
Algeria,1988,21.39277,,,,,,,
Algeria,1995,,22.01868,,,,,,
Algeria,2011,,,11.88505,,,,,
Angola,2000,43.34756,,,,,,,
Angola,2008,,29.355982,,,,,,
Angola,2018,,,35.270473,,,,,
Armenia,1999,,22.693138,,,,,,
Armenia,2001,,19.379599,,,,,,
Armenia,2002,,20.946894,,,,,,
Armenia,2003,,15.58362,,,,,,
Armenia,2004,,22.686592,,,,,,
Armenia,2005,,21.222765,,,,,,
Armenia,2006,,19.247728,,,,,,
Armenia,2007,,19.777678,,,,,,
Armenia,2008,,18.11208,,,,,,
Armenia,2009,,16.996168,,,,,,
Armenia,2010,,15.180162,,,,,,
Armenia,2011,,17.96103,,,,,,
Armenia,2012,,16.026386,,,,,,
Armenia,2013,,20.29927,,,,,,
Armenia,2014,,19.90753,,,,,,
Armenia,2015,,21.121931,,,,,,
Armenia,2016,,20.267082,,,,,,
Armenia,2017,,19.460339,,,,,,
Armenia,2018,,21.932438,,,,,,
Armenia,2019,,,17.947018,,,,,
Armenia,2020,,,16.425444,,,,,
Armenia,2021,,,17.235165,,,,,
Armenia,2022,,,17.008293,,,,,
Armenia,2023,,,17.09846,,,,,
Azerbaijan,1995,27.836052,,,,,,,
Azerbaijan,2001,,20.32031,,,,,,
Azerbaijan,2002,,12.132872,,,,,,
Azerbaijan,2003,,13.275467,,,,,,
Azerbaijan,2004,,9.415714,,,,,,
Azerbaijan,2005,,8.88213,,,,,,
Bangladesh,1983,13.72499,,,,,,,
Bangladesh,1985,5.489068,,,,,,,
Bangladesh,1988,8.356053,,,,,,,
Bangladesh,1991,,15.507773,,,,,,
Bangladesh,1995,,16.305798,,,,,,
Bangladesh,2000,,,15.184071,,,,,
Bangladesh,2005,,,13.848164,,,,,
Bangladesh,2010,,,13.474751,,,,,
Bangladesh,2016,,,16.138697,,,,,
Bangladesh,2022,,,,16.533663,,,,
Barbados,2016,31.55785,,,,,,,
Belarus,1998,,24.001465,,,,,,
Belarus,1999,,25.693121,,,,,,
Belarus,2000,,25.314976,,,,,,
Belarus,2001,,23.758274,,,,,,
Belarus,2002,,22.935833,,,,,,
Belarus,2003,,23.076914,,,,,,
Belarus,2004,,19.858963,,,,,,
Belarus,2005,,20.955687,,,,,,
Belarus,2006,,19.642996,,,,,,
Belarus,2007,,22.028065,,,,,,
Belarus,2008,,19.86679,,,,,,
Belarus,2009,,21.31869,,,,,,
Belarus,2010,,19.265621,,,,,,
Belarus,2011,,19.099188,,,,,,
Belarus,2012,,18.306879,,,,,,
Belarus,2013,,18.661695,,,,,,
Belarus,2014,,18.551428,,,,,,
Belarus,2015,,18.89684,,,,,,
Belarus,2016,,17.845608,,,,,,
Belarus,2017,,17.937832,,,,,,
Belarus,2018,,15.10804,,,,,,
Belarus,2019,,18.345837,,,,,,
Belarus,2020,,17.727144,,,,,,
Belize,1995,,44.944927,,,,,,
Belize,2018,,,,28.95917,,,,
Benin,2003,21.629496,,,,,,,
Benin,2011,,22.120518,,,,,,
Benin,2015,,52.31366,,,,,,
Benin,2018,,,20.889385,,,,,
Benin,2021,,,21.121365,,,,,
Bhutan,2003,16.708988,,,,,,,
Bhutan,2007,,22.036116,,,,,,
Bhutan,2012,,21.831007,,,,,,
Bhutan,2017,,22.154892,,,,,,
Bhutan,2022,,,20.123167,,,,,
Bosnia and Herzegovina,2001,21.541967,,,,,,,
Bosnia and Herzegovina,2004,23.7968,,,,,,,
Bosnia and Herzegovina,2007,,22.998505,,,,,,
Bosnia and Herzegovina,2011,,25.382889,,,,,,
Botswana,1985,31.98015,,,,,,,
Botswana,1993,32.59364,,,,,,,
Botswana,2002,,34.087975,,,,,,
Botswana,2009,,33.74521,,,,,,
Botswana,2015,,29.909285,,,,,,
Bulgaria,1989,8.861658,,,,,,,
Bulgaria,1994,11.671854,,,,,,,
Bulgaria,1995,,,,27.396162,,,,
Bulgaria,1997,,,5.0206423,,,,,
Bulgaria,2001,,,,31.59156,,,,
Bulgaria,2003,,,,,24.27254,,,
Bulgaria,2007,,,,,29.024607,,,
Burkina Faso,1994,21.56351,,,,,,,
Burkina Faso,1998,,25.169647,,,,,,
Burkina Faso,2003,,25.291857,,,,,,
Burkina Faso,2009,,,21.306524,,,,,
Burkina Faso,2014,,,,13.389634,,,,
Burkina Faso,2018,,,,,19.888073,,,
Burkina Faso,2021,,,,,18.980392,,,
Burundi,1992,15.099856,,,,,,,
Burundi,1998,,34.807125,,,,,,
Burundi,2006,,8.429853,,,,,,
Burundi,2013,,23.009062,,,,,,
Burundi,2020,,,21.867926,,,,,
Cameroon,1996,20.459663,,,,,,,
Cameroon,2001,,23.480177,,,,,,
Cameroon,2007,,21.406895,,,,,,
Cameroon,2014,,30.767807,,,,,,
Cameroon,2021,,,27.412193,,,,,
Cape Verde,2001,29.11415,,,,,,,
Cape Verde,2007,,27.229637,,,,,,
Cape Verde,2015,,,26.925293,,,,,
Central African Republic,1992,27.753174,,,,,,,
Central African Republic,2008,,35.590332,,,,,,
Central African Republic,2021,,,28.329765,,,,,
Chad,2003,25.883062,,,,,,,
Chad,2011,34.107803,,,,,,,
Chad,2018,,21.14603,,,,,,
Chad,2022,,22.688105,,,,,,
China,1990,,16.154007,,,,,,
China,1993,,17.820452,,,,,,
China,1996,,18.193472,,,,,,
China,1999,,20.894817,,,,,,
China,2002,,24.694191,,,,,,
China,2005,,24.628906,,,,,,
China,2008,,28.592342,,,,,,
China,2010,,29.259844,,,,,,
China,2011,,28.722927,,,,,,
China,2012,,29.247625,,,,,,
China,2013,,,23.145903,,,,,
China,2014,,,23.710169,,,,,
China,2015,,,22.511747,,,,,
China,2016,,,22.276108,,,,,
China,2017,,,22.3988,,,,,
China,2018,,,22.01069,,,,,
China,2019,,,19.724504,,,,,
China,2020,,,15.975034,,,,,
China,2021,,,16.801182,,,,,
China,2022,,,17.471899,,,,,
China (rural),1990,,11.935168,,,,,,
China (rural),1993,,13.277852,,,,,,
China (rural),1996,,12.173934,,,,,,
China (rural),1999,,13.317525,,,,,,
China (rural),2002,,14.802058,,,,,,
China (rural),2005,,16.853516,,,,,,
China (rural),2008,,18.552198,,,,,,
China (rural),2010,,17.66695,,,,,,
China (rural),2011,,19.150198,,,,,,
China (rural),2012,,19.87253,,,,,,
China (rural),2013,,,17.348577,,,,,
China (rural),2014,,,18.418814,,,,,
China (rural),2015,,,16.909945,,,,,
China (rural),2016,,,17.095142,,,,,
China (rural),2017,,,17.075783,,,,,
China (rural),2018,,,17.352798,,,,,
China (rural),2019,,,13.942985,,,,,
China (rural),2020,,,7.9502835,,,,,
China (rural),2021,,,11.730395,,,,,
China (rural),2022,,,13.020229,,,,,
China (urban),1990,,13.498623,,,,,,
China (urban),1993,,14.787738,,,,,,
China (urban),1996,,14.123411,,,,,,
