country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8
Albania,1996,58.208935,,,,,,,
Albania,2002,,58.687664,,,,,,
Albania,2005,,53.53725,,,,,,
Albania,2008,,49.90662,,,,,,
Albania,2012,,51.34046,,,,,,
Albania,2014,,,49.82697,,,,,
Albania,2015,,,41.538857,,,,,
Albania,2016,,,40.839893,,,,,
Albania,2017,,,40.938816,,,,,
Albania,2018,,,,36.216335,,,,
Albania,2019,,,,35.27278,,,,
Albania,2020,,,,33.997208,,,,
Algeria,1988,62.516766,,,,,,,
Algeria,1995,,61.344963,,,,,,
Algeria,2011,,,49.99133,,,,,
Angola,2000,65.22035,,,,,,,
Angola,2008,,65.78466,,,,,,
Angola,2018,,,72.86219,,,,,
Armenia,1999,,72.07508,,,,,,
Armenia,2001,,72.9917,,,,,,
Armenia,2002,,71.94769,,,,,,
Armenia,2003,,71.39117,,,,,,
Armenia,2004,,66.06872,,,,,,
Armenia,2005,,62.74106,,,,,,
Armenia,2006,,61.739956,,,,,,
Armenia,2007,,57.752197,,,,,,
Armenia,2008,,56.49143,,,,,,
Armenia,2009,,60.787136,,,,,,
Armenia,2010,,60.743862,,,,,,
Armenia,2011,,59.66068,,,,,,
Armenia,2012,,58.595253,,,,,,
Armenia,2013,,57.07707,,,,,,
Armenia,2014,,56.636524,,,,,,
Armenia,2015,,54.464333,,,,,,
Armenia,2016,,51.511486,,,,,,
Armenia,2017,,54.203762,,,,,,
Armenia,2018,,54.63221,,,,,,
Armenia,2019,,,57.062523,,,,,
Armenia,2020,,,57.92779,,,,,
Armenia,2021,,,56.943863,,,,,
Armenia,2022,,,57.08006,,,,,
Armenia,2023,,,57.150227,,,,,
Azerbaijan,1995,69.93417,,,,,,,
Azerbaijan,2001,,64.79463,,,,,,
Azerbaijan,2002,,54.66851,,,,,,
Azerbaijan,2003,,53.05156,,,,,,
Azerbaijan,2004,,52.26642,,,,,,
Azerbaijan,2005,,47.436928,,,,,,
Bangladesh,1983,82.727005,,,,,,,
Bangladesh,1985,80.98822,,,,,,,
Bangladesh,1988,82.56799,,,,,,,
Bangladesh,1991,,82.93554,,,,,,
Bangladesh,1995,,79.59411,,,,,,
Bangladesh,2000,,,78.90452,,,,,
Bangladesh,2005,,,76.54988,,,,,
Bangladesh,2010,,,74.91552,,,,,
Bangladesh,2016,,,72.70403,,,,,
Bangladesh,2022,,,,63.640446,,,,
Barbados,2016,27.305355,,,,,,,
Belarus,1998,,79.16237,,,,,,
Belarus,1999,,77.761734,,,,,,
Belarus,2000,,75.388245,,,,,,
Belarus,2001,,69.72977,,,,,,
Belarus,2002,,66.90043,,,,,,
Belarus,2003,,65.52896,,,,,,
Belarus,2004,,61.21044,,,,,,
Belarus,2005,,53.09953,,,,,,
Belarus,2006,,46.90403,,,,,,
Belarus,2007,,41.205357,,,,,,
Belarus,2008,,38.471474,,,,,,
Belarus,2009,,38.172165,,,,,,
Belarus,2010,,32.64093,,,,,,
Belarus,2011,,30.625612,,,,,,
Belarus,2012,,24.92435,,,,,,
Belarus,2013,,20.021908,,,,,,
Belarus,2014,,18.67554,,,,,,
Belarus,2015,,22.553709,,,,,,
Belarus,2016,,24.331038,,,,,,
Belarus,2017,,23.13015,,,,,,
Belarus,2018,,19.23739,,,,,,
Belarus,2019,,16.941666,,,,,,
Belarus,2020,,16.075346,,,,,,
Belize,1995,,49.188324,,,,,,
Belize,2018,,,,28.891478,,,,
Benin,2003,85.76685,,,,,,,
Benin,2011,,84.49503,,,,,,
Benin,2015,,84.650085,,,,,,
Benin,2018,,,76.25139,,,,,
Benin,2021,,,74.22094,,,,,
Bhutan,2003,68.04979,,,,,,,
Bhutan,2007,,61.231655,,,,,,
Bhutan,2012,,50.680023,,,,,,
Bhutan,2017,,46.008987,,,,,,
Bhutan,2022,,,24.376188,,,,,
Bosnia and Herzegovina,2001,35.918514,,,,,,,
Bosnia and Herzegovina,2004,20.897888,,,,,,,
Bosnia and Herzegovina,2007,,17.321924,,,,,,
Bosnia and Herzegovina,2011,,18.85125,,,,,,
Botswana,1985,76.85371,,,,,,,
Botswana,1993,72.610275,,,,,,,
Botswana,2002,,64.985886,,,,,,
Botswana,2009,,58.893776,,,,,,
Botswana,2015,,58.654682,,,,,,
Bulgaria,1989,5.8943753,,,,,,,
Bulgaria,1994,27.695831,,,,,,,
Bulgaria,1995,,,,36.182323,,,,
Bulgaria,1997,,,59.280354,,,,,
Bulgaria,2001,,,,45.76583,,,,
Bulgaria,2003,,,,,47.98805,,,
Bulgaria,2007,,,,,33.50388,,,
Burkina Faso,1994,91.546425,,,,,,,
Burkina Faso,1998,,90.16248,,,,,,
Burkina Faso,2003,,85.167816,,,,,,
Burkina Faso,2009,,,84.989235,,,,,
Burkina Faso,2014,,,,82.52763,,,,
Burkina Faso,2018,,,,,77.95617,,,
Burkina Faso,2021,,,,,78.20107,,,
Burundi,1992,89.92036,,,,,,,
Burundi,1998,,90.80574,,,,,,
Burundi,2006,,88.77406,,,,,,
Burundi,2013,,87.308105,,,,,,
Burundi,2020,,,87.00586,,,,,
Cameroon,1996,79.952484,,,,,,,
Cameroon,2001,,72.29995,,,,,,
Cameroon,2007,,73.24329,,,,,,
Cameroon,2014,,66.790596,,,,,,
Cameroon,2021,,,67.59293,,,,,
Cape Verde,2001,71.40267,,,,,,,
Cape Verde,2007,,66.78054,,,,,,
Cape Verde,2015,,,60.601223,,,,,
Central African Republic,1992,91.07435,,,,,,,
Central African Republic,2008,,83.81115,,,,,,
Central African Republic,2021,,,86.3935,,,,,
Chad,2003,85.36468,,,,,,,
Chad,2011,78.28195,,,,,,,
Chad,2018,,77.95186,,,,,,
Chad,2022,,77.49092,,,,,,
China,1990,,89.46856,,,,,,
China,1993,,88.048,,,,,,
China,1996,,84.39221,,,,,,
China,1999,,82.90213,,,,,,
China,2002,,78.69571,,,,,,
China,2005,,72.71562,,,,,,
China,2008,,67.392624,,,,,,
China,2010,,62.792934,,,,,,
China,2011,,60.234196,,,,,,
China,2012,,57.12367,,,,,,
China,2013,,,52.286045,,,,,
China,2014,,,49.158756,,,,,
China,2015,,,46.326656,,,,,
China,2016,,,43.784966,,,,,
China,2017,,,41.990307,,,,,
China,2018,,,39.232452,,,,,
China,2019,,,36.896904,,,,,
China,2020,,,38.008865,,,,,
China,2021,,,32.0438,,,,,
China,2022,,,32.258743,,,,,
China (rural),1990,,91.0678,,,,,,
China (rural),1993,,90.80117,,,,,,
China (rural),1996,,87.30007,,,,,,
China (rural),1999,,87.28893,,,,,,
China (rural),2002,,85.434364,,,,,,
China (rural),2005,,81.27083,,,,,,
China (rural),2008,,78.84557,,,,,,
China (rural),2010,,76.464264,,,,,,
China (rural),2011,,74.28149,,,,,,
China (rural),2012,,71.9458,,,,,,
China (rural),2013,,,65.53624,,,,,
China (rural),2014,,,62.516983,,,,,
China (rural),2015,,,59.77908,,,,,
China (rural),2016,,,57.568462,,,,,
China (rural),2017,,,55.541485,,,,,
China (rural),2018,,,52.10924,,,,,
China (rural),2019,,,49.356632,,,,,
China (rural),2020,,,49.342213,,,,,
China (rural),2021,,,42.24773,,,,,
China (rural),2022,,,41.730556,,,,,
China (urban),1990,,85.0197,,,,,,
China (urban),1993,,81.34108,,,,,,
China (urban),1996,,78.189095,,,,,,
China (urban),1999,,74.706696,,,,,,
China (urban),2002,,67.8972,,,,,,
China (urban),2005,,61.151337,,,,,,
China (urban),2008,,54.23622,,,,,,
China (urban),2010,,48.691685,,,,,,
China (urban),2011,,46.471127,,,,,,
China (urban),2012,,43.3123,,,,,,
China (urban),2013,,,40.54201,,,,,
China (urban),2014,,,37.897606,,,,,
China (urban),2015,,,35.540485,,,,,
China (urban),2016,,,33.27437,,,,,
China (urban),2017,,,32.16126,,,,,
China (urban),2018,,,30.340258,,,,,
China (urban),2019,,,28.696474,,,,,
China (urban),2020,,,30.892408,,,,,
China (urban),2021,,,25.924576,,,,,
China (urban),2022,,,26.8284,,,,,
Comoros,2004,68.102806,,,,,,,
Comoros,2014,,70.05619,,,,,,
Congo,2005,79.70191,,,,,,,
Congo,2011,73.923294,,,,,,,
Cote d'Ivoire,1985,58.334263,,,,,,,
Cote d'Ivoire,1986,61.863525,,,,,,,
Cote d'Ivoire,1987,65.61284,,,,,,,
Cote d'Ivoire,1988,71.43765,,,,,,,
Cote d'Ivoire,1992,,76.66941,,,,,,
Cote d'Ivoire,1995,,76.195564,,,,,,
Cote d'Ivoire,1998,,78.94128,,,,,,
Cote d'Ivoire,2008,,,78.73118,,,,,
Cote d'Ivoire,2015,,,79.01646,,,,,
Cote d'Ivoire,2018,,,,69.98161,,,,
Cote d'Ivoire,2021,,,,70.44323,,,,
Croatia,1998,,2.4063175,,,,,,
Croatia,1999,,,16.193884,,,,,
Croatia,2000,,,14.935867,,,,,
Croatia,2001,,,16.91399,,,,,
Croatia,2004,,4.4502153,,,,,,
Croatia,2008,,5.9248238,,,,,,
Croatia,2009,,6.291637,,,,,,
Croatia,2010,,6.8561063,,,,,,
Democratic Republic of Congo,2004,94.38184,,,,,,,
Democratic Republic of Congo,2012,88.742805,,,,,,,
Democratic Republic of Congo,2020,,90.424706,,,,,,
Djibouti,2002,73.91209,,,,,,,
Djibouti,2012,,69.40983,,,,,,
Djibouti,2013,,,72.09366,,,,,
Djibouti,2017,,,,70.56041,,,,
East Timor,2001,82.502495,,,,,,,
East Timor,2007,84.51967,,,,,,,
East Timor,2014,81.08973,,,,,,,
Egypt,1990,64.8747,,,,,,,
Egypt,1995,65.96033,,,,,,,
Egypt,1999,,59.55903,,,,,,
Egypt,2004,,,63.2548,,,,,
Egypt,2008,,,63.044422,,,,,
Egypt,2010,,,,58.97196,,,,
Egypt,2012,,,,57.68777,,,,
Egypt,2015,,,,55.920876,,,,
Egypt,2017,,,,60.667645,,,,
Egypt,2019,,,,,58.44856,,,
Egypt,2021,,,,56.948013,,,,
Equatorial Guinea,2022,56.617607,,,,,,,
Estonia,1995,,47.650257,,,,,,
Estonia,1998,,41.39547,,,,,,
Estonia,2000,,,43.525303,,,,,
Estonia,2001,,,44.943356,,,,,
Estonia,2002,,,43.747925,,,,,
Estonia,2003,,,42.667366,,,,,
Estonia,2004,,,37.2018,,,,,
Eswatini,1994,92.38782,,,,,,,
Eswatini,2000,,81.569466,,,,,,
Eswatini,2009,,79.90953,,,,,,
Eswatini,2016,,72.13507,,,,,,
Ethiopia,1995,,86.25196,,,,,,
Ethiopia,1999,,85.24627,,,,,,
Ethiopia,2004,,80.55341,,,,,,
Ethiopia,2010,,78.973495,,,,,,
Ethiopia,2015,,76.74347,,,,,,
Ethiopia,2021,,79.2725,,,,,,
Ethiopia (rural),1981,87.50041,,,,,,,
Fiji,2002,52.708317,,,,,,,
Fiji,2008,50.30701,,,,,,,
Fiji,2013,49.37089,,,,,,,
Fiji,2019,,58.61539,,,,,,
Gabon,2005,55.73787,,,,,,,
Gabon,2017,,39.896862,,,,,,
Gambia,1998,87.975296,,,,,,,
Gambia,2003,,80.23203,,,,,,
Gambia,2010,,,74.26013,,,,,
Gambia,2015,,,,69.05895,,,,
Gambia,2020,,,,69.452545,,,,
Georgia,1996,58.909615,,,,,,,
Georgia,1997,,71.11245,,,,,,
Georgia,1998,,,71.21313,,,,,
Georgia,1999,,,74.29474,,,,,
Georgia,2000,,,75.2256,,,,,
Georgia,2001,,,76.27945,,,,,
Georgia,2002,,,69.75094,,,,,
Georgia,2003,,,69.80927,,,,,
Georgia,2004,,,68.73288,,,,,
Georgia,2005,,,69.454506,,,,,
Georgia,2006,,,69.87654,,,,,
Georgia,2007,,,70.661255,,,,,
Georgia,2008,,,68.399994,,,,,
Georgia,2009,,,68.65515,,,,,
