country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,4.3900824,,,
Albania,2017,,,,,4.212297,,,
Albania,2018,,,,,4.023695,,,
Argentina (urban),1980,2.5894084,,,,,,,
Argentina (urban),1986,3.6384816,,,,,,,
Argentina (urban),1987,3.585432,,,,,,,
Argentina (urban),1991,3.4799976,,,,,,,
Argentina (urban),1992,,3.519421,,,,,,
Argentina (urban),1993,,3.7655785,,,,,,
Argentina (urban),1994,,3.8252745,,,,,,
Argentina (urban),1995,,4.056824,,,,,,
Argentina (urban),1996,,4.2413464,,,,,,
Argentina (urban),1997,,4.1944532,,,,,,
Argentina (urban),1998,,,4.2695565,,,,,
Argentina (urban),1999,,,4.222582,,,,,
Argentina (urban),2000,,,4.437362,,,,,
Argentina (urban),2001,,,4.912165,,,,,
Argentina (urban),2002,,,5.1958985,,,,,
Argentina (urban),2003,,,,4.509021,,,,
Argentina (urban),2004,,,,4.308579,,,,
Argentina (urban),2005,,,,4.1245,,,,
Argentina (urban),2006,,,,3.9855218,,,,
Argentina (urban),2007,,,,3.7387805,,,,
Argentina (urban),2008,,,,3.8572953,,,,
Argentina (urban),2009,,,,3.7786257,,,,
Argentina (urban),2010,,,,3.5383382,,,,
Argentina (urban),2011,,,,3.326542,,,,
Argentina (urban),2012,,,,3.4044533,,,,
Argentina (urban),2013,,,,3.297952,,,,
Argentina (urban),2014,,,,3.206141,,,,
Argentina (urban),2016,,,,3.26829,,,,
Argentina (urban),2017,,,,3.3640645,,,,
Argentina (urban),2018,,,,3.4294648,,,,
Argentina (urban),2019,,,,3.5363574,,,,
Argentina (urban),2020,,,,3.5244408,,,,
Argentina (urban),2021,,,,3.314529,,,,
Argentina (urban),2022,,,,3.1793456,,,,
Argentina (urban),2023,,,,3.2977,,,,
Argentina (urban),2024,,,,3.1997788,,,,
Armenia,1996,5.215946,,,,,,,
Australia,1981,5.491422,,,,,,,
Australia,1985,,4.781902,,,,,,
Australia,1989,,,4.5130734,,,,,
Australia,1995,,,,4.97096,,,,
Australia,2001,,,,5.2857337,,,,
Australia,2003,,,,6.016678,,,,
Australia,2004,,,,5.894764,,,,
Australia,2008,,,,6.3445888,,,,
Australia,2010,,,,5.135597,,,,
Australia,2014,,,,5.645258,,,,
Australia,2016,,,,5.484008,,,,
Australia,2018,,,,6.017847,,,,
Australia,2020,,,,7.2951627,,,,
Austria,1994,,3.8624198,,,,,,
Austria,1995,,3.953335,,,,,,
Austria,1996,,3.1532376,,,,,,
Austria,1997,,3.832309,,,,,,
Austria,1998,,4.506021,,,,,,
Austria,1999,,4.1284103,,,,,,
Austria,2000,,2.931184,,,,,,
Austria,2003,,,5.917402,,,,,
Austria,2004,,,3.4177692,,,,,
Austria,2005,,,3.954044,,,,,
Austria,2006,,,4.334062,,,,,
Austria,2007,,,6.4440117,,,,,
Austria,2008,,,5.759451,,,,,
Austria,2009,,,6.3847475,,,,,
Austria,2010,,,6.1306114,,,,,
Austria,2011,,,5.26721,,,,,
Austria,2012,,,5.4758573,,,,,
Austria,2013,,,5.4037533,,,,,
Austria,2014,,,5.294026,,,,,
Austria,2015,,,5.101415,,,,,
Austria,2016,,,6.041479,,,,,
Austria,2017,,,5.783516,,,,,
Austria,2018,,,6.4141927,,,,,
Austria,2019,,,7.1704173,,,,,
Austria,2020,,,6.947261,,,,,
Austria,2021,,,4.9049807,,,,,
Austria,2022,,,5.9695597,,,,,
Austria,2023,,,6.2913127,,,,,
Belarus,1993,4.0849533,,,,,,,
Belarus,1995,3.4168513,,,,,,,
Belgium,1985,4.879303,,,,,,,
Belgium,1988,7.2471604,,,,,,,
Belgium,1992,8.189606,,,,,,,
Belgium,1995,,5.5399137,,,,,,
Belgium,1997,4.9155436,,,,,,,
Belgium,2000,,5.925561,,,,,,
Belgium,2003,,,4.800177,,,,,
Belgium,2004,,,3.9345307,,,,,
Belgium,2005,,,4.8588753,,,,,
Belgium,2006,,,5.3729844,,,,,
Belgium,2007,,,4.6348705,,,,,
Belgium,2008,,,4.1806707,,,,,
Belgium,2009,,,3.6285567,,,,,
Belgium,2010,,,4.1710224,,,,,
Belgium,2011,,,4.077631,,,,,
Belgium,2012,,,4.93517,,,,,
Belgium,2013,,,4.3401103,,,,,
Belgium,2014,,,4.491634,,,,,
Belgium,2015,,,5.1861086,,,,,
Belgium,2016,,,3.4186614,,,,,
Belgium,2017,,,5.183299,,,,,
Belgium,2018,,,4.124007,,,,,
Belgium,2019,,,5.4260516,,,,,
Belgium,2020,,,5.1014366,,,,,
Belgium,2021,,,4.9085617,,,,,
Belgium,2022,,,4.545275,,,,,
Belgium,2023,,,4.7426786,,,,,
Belize,1993,5.1978908,,,,,,,
Belize,1994,5.1551247,,,,,,,
Belize,1996,,,5.5192175,,,,,
Belize,1997,5.6422057,,,,,,,
Belize,1998,5.676923,,,,,,,
Belize,1999,5.4704847,,,,,,,
Bolivia,1997,,5.3105445,,,,,,
Bolivia,1999,,,5.933262,,,,,
Bolivia,2000,,,,5.9525557,,,,
Bolivia,2001,,,,5.48971,,,,
Bolivia,2002,,,,5.626539,,,,
Bolivia,2004,,,,,4.800332,,,
Bolivia,2005,,,,,,5.394713,,
Bolivia,2006,,,,,,5.178342,,
Bolivia,2007,,,,,,4.9327016,,
Bolivia,2008,,,,,,4.666111,,
Bolivia,2009,,,,,,4.6902175,,
Bolivia,2011,,,,,,4.3848,,
Bolivia,2012,,,,,,4.607812,,
Bolivia,2013,,,,,,4.4135914,,
Bolivia,2014,,,,,,4.2157664,,
Bolivia,2015,,,,,,4.204259,,
Bolivia,2016,,,,,,4.4328775,,
Bolivia,2017,,,,,,4.3408074,,
Bolivia,2018,,,,,,4.06104,,
Bolivia,2019,,,,,,3.717508,,
Bolivia,2020,,,,,,3.8303869,,
Bolivia,2021,,,,,,3.5688338,,
Bolivia,2022,,,,,,3.6642256,,
Bolivia,2023,,,,,,3.4929352,,
Bolivia (urban),1990,4.1542163,,,,,,,
Bolivia (urban),1992,4.9001713,,,,,,,
Brazil,1981,5.9425716,,,,,,,
Brazil,1982,5.9623995,,,,,,,
Brazil,1983,6.306867,,,,,,,
Brazil,1984,6.2450147,,,,,,,
Brazil,1985,6.033502,,,,,,,
Brazil,1986,5.166075,,,,,,,
Brazil,1987,5.709601,,,,,,,
Brazil,1988,5.863236,,,,,,,
Brazil,1989,5.7962294,,,,,,,
Brazil,1990,5.9730916,,,,,,,
Brazil,1992,5.807143,,,,,,,
Brazil,1993,5.802052,,,,,,,
Brazil,1995,5.325591,,,,,,,
Brazil,1996,5.436337,,,,,,,
Brazil,1997,5.4446993,,,,,,,
Brazil,1998,5.3187237,,,,,,,
Brazil,1999,5.354572,,,,,,,
Brazil,2001,5.235325,,,,,,,
Brazil,2002,5.1463885,,,,,,,
Brazil,2003,5.2029166,,,,,,,
Brazil,2004,5.057661,,,,,,,
Brazil,2005,4.958556,,,,,,,
Brazil,2006,4.7630553,,,,,,,
Brazil,2007,4.739612,,,,,,,
Brazil,2008,4.5563655,,,,,,,
Brazil,2009,4.5005755,,,,,,,
Brazil,2011,4.354903,,,,,,,
Brazil,2012,,4.2402015,,,,,,
Brazil,2013,,4.134382,,,,,,
Brazil,2014,,4.0331597,,,,,,
Brazil,2015,,4.136004,,,,,,
Brazil,2016,,4.2948694,,,,,,
Brazil,2017,,4.3533425,,,,,,
Brazil,2018,,4.37049,,,,,,
Brazil,2019,,4.3981724,,,,,,
Brazil,2020,,3.53687,,,,,,
Brazil,2021,,4.3141947,,,,,,
Brazil,2022,,4.019341,,,,,,
Brazil,2023,,3.89575,,,,,,
Bulgaria,1992,,1.7942132,,,,,,
Bulgaria,2006,,,,,,3.841874,,
Bulgaria,2007,,,,,,3.29018,,
Bulgaria,2008,,,,,,3.2894385,,
Bulgaria,2009,,,,,,3.351352,,
Bulgaria,2010,,,,,,3.6037588,,
Bulgaria,2011,,,,,,3.6852787,,
Bulgaria,2012,,,,,,3.764925,,
Bulgaria,2013,,,,,,4.08267,,
Bulgaria,2014,,,,,,3.7632186,,
Bulgaria,2015,,,,,,,4.266665,
Bulgaria,2016,,,,,,,4.026746,
Bulgaria,2017,,,,,,,3.6337936,
Bulgaria,2018,,,,,,,3.7092025,
Bulgaria,2019,,,,,,,3.8476033,
Bulgaria,2020,,,,,,,3.339329,
Bulgaria,2021,,,,,,,4.018286,
Bulgaria,2022,,,,,,,3.801397,
Bulgaria,2023,,,,,,,3.9232085,
Canada,1971,4.7176447,,,,,,,
Canada,1973,4.717109,,,,,,,
Canada,1975,5.2488465,,,,,,,
Canada,1977,5.481991,,,,,,,
Canada,1979,5.0716977,,,,,,,
Canada,1981,5.236566,,,,,,,
Canada,1982,4.802572,,,,,,,
Canada,1984,4.629702,,,,,,,
Canada,1985,4.42047,,,,,,,
Canada,1986,5.678609,,,,,,,
Canada,1987,5.3175526,,,,,,,
Canada,1988,5.3377585,,,,,,,
Canada,1989,7.135679,,,,,,,
Canada,1990,6.190825,,,,,,,
Canada,1991,6.633704,,,,,,,
Canada,1992,5.45815,,,,,,,
Canada,1993,6.364258,,,,,,,
Canada,1994,5.581665,,,,,,,
Canada,1995,5.242731,,,,,,,
Canada,1996,,4.1554613,,,,,,
Canada,1997,,3.9294145,,,,,,
Canada,1998,,5.083466,,,,,,
Canada,1999,,4.6116357,,,,,,
Canada,2000,,4.0295424,,,,,,
Canada,2001,,4.5355277,,,,,,
Canada,2002,,4.2713647,,,,,,
Canada,2003,,3.9116862,,,,,,
Canada,2004,,4.1158414,,,,,,
Canada,2005,,4.1046405,,,,,,
Canada,2006,,4.872315,,,,,,
Canada,2007,,3.917554,,,,,,
Canada,2008,,4.148994,,,,,,
Canada,2009,,3.8962991,,,,,,
Canada,2010,,4.3141007,,,,,,
Canada,2011,,4.4198375,,,,,,
Canada,2012,,,4.2896485,,,,,
Canada,2013,,,4.407485,,,,,
Canada,2014,,,4.4402103,,,,,
Canada,2015,,,4.8661456,,,,,
Canada,2016,,,4.4742227,,,,,
Canada,2017,,,5.25986,,,,,
Canada,2018,,,5.339196,,,,,
Canada,2019,,,5.04911,,,,,
Canada,2020,,,4.7899623,,,,,
Canada,2021,,,5.8024235,,,,,
Chile,1987,5.4351635,,,,,,,
Chile,1990,5.089618,,,,,,,
Chile,1992,4.691698,,,,,,,
Chile,1994,4.647324,,,,,,,
Chile,1996,4.3737926,,,,,,,
Chile,1998,4.314875,,,,,,,
Chile,2000,,4.3742175,,,,,,
Chile,2003,,4.3163376,,,,,,
Chile,2006,,,3.6511674,,,,,
Chile,2009,,,3.358135,,,,,
Chile,2011,,,3.1988761,,,,,
Chile,2013,,,2.8062234,,,,,
Chile,2015,,,2.7231703,,,,,
Chile,2017,,,2.607015,,,,,
Chile,2020,,,3.24187,,,,,
Chile,2022,,,2.669168,,,,,
China,1981,8.685622,,,,,,,
China,1984,8.254412,,,,,,,
China,1987,7.857465,,,,,,,
China (rural),1981,8.888113,,,,,,,
China (rural),1984,8.449135,,,,,,,
China (rural),1987,8.114906,,,,,,,
China (urban),1981,7.8815985,,,,,,,
