country,year,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,2016,,,,,20.00739,,,
Albania,2017,,,,,17.606886,,,
Albania,2018,,,,,15.49959,,,
Argentina (urban),1980,1.5870599,,,,,,,
Argentina (urban),1986,2.4012637,,,,,,,
Argentina (urban),1987,3.3688366,,,,,,,
Argentina (urban),1991,5.6537623,,,,,,,
Argentina (urban),1992,,6.1097064,,,,,,
Argentina (urban),1993,,6.560686,,,,,,
Argentina (urban),1994,,6.845653,,,,,,
Argentina (urban),1995,,9.386979,,,,,,
Argentina (urban),1996,,10.521707,,,,,,
Argentina (urban),1997,,9.84076,,,,,,
Argentina (urban),1998,,,10.897992,,,,,
Argentina (urban),1999,,,11.225901,,,,,
Argentina (urban),2000,,,12.929161,,,,,
Argentina (urban),2001,,,16.62801,,,,,
Argentina (urban),2002,,,24.248814,,,,,
Argentina (urban),2003,,,,14.416842,,,,
Argentina (urban),2004,,,,11.656469,,,,
Argentina (urban),2005,,,,9.529245,,,,
Argentina (urban),2006,,,,7.5744433,,,,
Argentina (urban),2007,,,,6.703178,,,,
Argentina (urban),2008,,,,6.1967487,,,,
Argentina (urban),2009,,,,5.54818,,,,
Argentina (urban),2010,,,,4.6023755,,,,
Argentina (urban),2011,,,,3.546451,,,,
Argentina (urban),2012,,,,3.4556046,,,,
Argentina (urban),2013,,,,3.3085756,,,,
Argentina (urban),2014,,,,3.656603,,,,
Argentina (urban),2016,,,,3.6854885,,,,
Argentina (urban),2017,,,,3.280035,,,,
Argentina (urban),2018,,,,4.224775,,,,
Argentina (urban),2019,,,,4.9659734,,,,
Argentina (urban),2020,,,,6.16488,,,,
Argentina (urban),2021,,,,4.604315,,,,
Argentina (urban),2022,,,,4.2082276,,,,
Argentina (urban),2023,,,,4.9690733,,,,
Argentina (urban),2024,,,,4.4022994,,,,
Armenia,1996,34.476463,,,,,,,
Australia,1981,1.1802049,,,,,,,
Australia,1985,,1.2191455,,,,,,
Australia,1989,,,1.0779246,,,,,
Australia,1995,,,,1.173743,,,,
Australia,2001,,,,1.0265825,,,,
Australia,2003,,,,1.1878319,,,,
Australia,2004,,,,0.7740541,,,,
Australia,2008,,,,0.5632466,,,,
Australia,2010,,,,0.5962572,,,,
Australia,2014,,,,0.63519716,,,,
Australia,2016,,,,0.6064056,,,,
Australia,2018,,,,0.6499973,,,,
Australia,2020,,,,1.0095161,,,,
Austria,1994,,0.3467364,,,,,,
Austria,1995,,0.27003124,,,,,,
Austria,1996,,0.16634612,,,,,,
Austria,1997,,0.28859147,,,,,,
Austria,1998,,0.42264032,,,,,,
Austria,1999,,0.25841856,,,,,,
Austria,2000,,0.19372332,,,,,,
Austria,2003,,,0.40025422,,,,,
Austria,2004,,,0.15424807,,,,,
Austria,2005,,,0.2130531,,,,,
Austria,2006,,,0.19865955,,,,,
Austria,2007,,,0.5159824,,,,,
Austria,2008,,,0.5673168,,,,,
Austria,2009,,,0.7204759,,,,,
Austria,2010,,,0.570014,,,,,
Austria,2011,,,0.6214725,,,,,
Austria,2012,,,0.6981077,,,,,
Austria,2013,,,0.38546753,,,,,
Austria,2014,,,0.37105927,,,,,
Austria,2015,,,0.7135513,,,,,
Austria,2016,,,0.85354,,,,,
Austria,2017,,,0.42277896,,,,,
Austria,2018,,,0.69138485,,,,,
Austria,2019,,,0.6657475,,,,,
Austria,2020,,,0.81430686,,,,,
Austria,2021,,,0.5551963,,,,,
Austria,2022,,,0.62977827,,,,,
Austria,2023,,,0.6230102,,,,,
Belarus,1993,26.892155,,,,,,,
Belarus,1995,14.2717495,,,,,,,
Belgium,1985,0.41468275,,,,,,,
Belgium,1988,0.6389201,,,,,,,
Belgium,1992,0.9333379,,,,,,,
Belgium,1995,,0.6746028,,,,,,
Belgium,1997,0.524273,,,,,,,
Belgium,2000,,0.49787173,,,,,,
Belgium,2003,,,0.4332223,,,,,
Belgium,2004,,,0.122210406,,,,,
Belgium,2005,,,0.30239278,,,,,
Belgium,2006,,,0.24828725,,,,,
Belgium,2007,,,0.19991982,,,,,
Belgium,2008,,,0.16557087,,,,,
Belgium,2009,,,0.164996,,,,,
Belgium,2010,,,0.23993006,,,,,
Belgium,2011,,,0.26199797,,,,,
Belgium,2012,,,0.24144973,,,,,
Belgium,2013,,,0.24098325,,,,,
Belgium,2014,,,0.12444856,,,,,
Belgium,2015,,,0.14753526,,,,,
Belgium,2016,,,0.111270055,,,,,
Belgium,2017,,,0.22590296,,,,,
Belgium,2018,,,0.10867874,,,,,
Belgium,2019,,,0.13113053,,,,,
Belgium,2020,,,0.1304982,,,,,
Belgium,2021,,,0.10870283,,,,,
Belgium,2022,,,0.07817323,,,,,
Belgium,2023,,,0.11253712,,,,,
Belize,1993,29.857475,,,,,,,
Belize,1994,31.193682,,,,,,,
Belize,1996,,,35.27056,,,,,
Belize,1997,36.9404,,,,,,,
Belize,1998,36.094833,,,,,,,
Belize,1999,34.397602,,,,,,,
Bolivia,1997,,25.543455,,,,,,
Bolivia,1999,,,30.753025,,,,,
Bolivia,2000,,,,34.3225,,,,
Bolivia,2001,,,,29.269072,,,,
Bolivia,2002,,,,30.842829,,,,
Bolivia,2004,,,,,22.391182,,,
Bolivia,2005,,,,,,25.640821,,
Bolivia,2006,,,,,,22.531075,,
Bolivia,2007,,,,,,20.47612,,
Bolivia,2008,,,,,,16.452965,,
Bolivia,2009,,,,,,14.632847,,
Bolivia,2011,,,,,,11.184831,,
Bolivia,2012,,,,,,11.849849,,
Bolivia,2013,,,,,,10.275272,,
Bolivia,2014,,,,,,9.571557,,
Bolivia,2015,,,,,,9.65433,,
Bolivia,2016,,,,,,10.685332,,
Bolivia,2017,,,,,,9.995313,,
Bolivia,2018,,,,,,8.645259,,
Bolivia,2019,,,,,,6.488227,,
Bolivia,2020,,,,,,7.4152255,,
Bolivia,2021,,,,,,6.1033087,,
Bolivia,2022,,,,,,6.6284947,,
Bolivia,2023,,,,,,5.848518,,
Bolivia (urban),1990,17.330088,,,,,,,
Bolivia (urban),1992,27.420425,,,,,,,
Brazil,1981,38.552048,,,,,,,
Brazil,1982,38.478374,,,,,,,
Brazil,1983,44.138466,,,,,,,
Brazil,1984,43.78878,,,,,,,
Brazil,1985,39.94116,,,,,,,
Brazil,1986,25.26011,,,,,,,
Brazil,1987,33.275238,,,,,,,
Brazil,1988,35.399826,,,,,,,
Brazil,1989,33.221066,,,,,,,
Brazil,1990,37.300106,,,,,,,
Brazil,1992,37.34421,,,,,,,
Brazil,1993,36.29923,,,,,,,
Brazil,1995,27.826904,,,,,,,
Brazil,1996,28.294369,,,,,,,
Brazil,1997,28.473053,,,,,,,
Brazil,1998,27.213774,,,,,,,
Brazil,1999,28.291153,,,,,,,
Brazil,2001,25.087143,,,,,,,
Brazil,2002,24.229965,,,,,,,
Brazil,2003,25.106865,,,,,,,
Brazil,2004,23.79554,,,,,,,
Brazil,2005,22.227232,,,,,,,
Brazil,2006,19.748507,,,,,,,
Brazil,2007,18.57777,,,,,,,
Brazil,2008,16.504639,,,,,,,
Brazil,2009,15.592024,,,,,,,
Brazil,2011,13.479529,,,,,,,
Brazil,2012,,12.276106,,,,,,
Brazil,2013,,10.999482,,,,,,
Brazil,2014,,10.146535,,,,,,
Brazil,2015,,10.798572,,,,,,
Brazil,2016,,11.987904,,,,,,
Brazil,2017,,12.188074,,,,,,
Brazil,2018,,12.0260315,,,,,,
Brazil,2019,,11.952473,,,,,,
Brazil,2020,,7.0656137,,,,,,
Brazil,2021,,12.689382,,,,,,
Brazil,2022,,9.882407,,,,,,
Brazil,2023,,8.833042,,,,,,
Bulgaria,1992,,0.631376,,,,,,
Bulgaria,2006,,,,,,13.36274,,
Bulgaria,2007,,,,,,6.4103923,,
Bulgaria,2008,,,,,,4.6616507,,
Bulgaria,2009,,,,,,4.5116825,,
Bulgaria,2010,,,,,,5.8588605,,
Bulgaria,2011,,,,,,6.4633207,,
Bulgaria,2012,,,,,,6.3525333,,
Bulgaria,2013,,,,,,6.1778526,,
Bulgaria,2014,,,,,,4.9686236,,
Bulgaria,2015,,,,,,,6.9420815,
Bulgaria,2016,,,,,,,5.1186924,
Bulgaria,2017,,,,,,,4.2402816,
Bulgaria,2018,,,,,,,3.3323607,
Bulgaria,2019,,,,,,,3.26779,
Bulgaria,2020,,,,,,,1.918564,
Bulgaria,2021,,,,,,,2.5474977,
Bulgaria,2022,,,,,,,2.068201,
Bulgaria,2023,,,,,,,1.7564018,
Canada,1971,3.181935,,,,,,,
Canada,1973,2.1586022,,,,,,,
Canada,1975,1.9118533,,,,,,,
Canada,1977,1.7677516,,,,,,,
Canada,1979,1.5174074,,,,,,,
Canada,1981,1.1166646,,,,,,,
Canada,1982,0.99343157,,,,,,,
Canada,1984,1.1413758,,,,,,,
Canada,1985,0.9181923,,,,,,,
Canada,1986,1.1544292,,,,,,,
Canada,1987,0.78332394,,,,,,,
Canada,1988,0.8181126,,,,,,,
Canada,1989,1.3410897,,,,,,,
Canada,1990,1.2574573,,,,,,,
Canada,1991,1.3681644,,,,,,,
Canada,1992,0.9627087,,,,,,,
Canada,1993,1.3156259,,,,,,,
Canada,1994,0.99857616,,,,,,,
Canada,1995,0.91006744,,,,,,,
Canada,1996,,0.58401495,,,,,,
Canada,1997,,0.53951275,,,,,,
Canada,1998,,0.6321712,,,,,,
Canada,1999,,0.6463738,,,,,,
Canada,2000,,0.47981957,,,,,,
Canada,2001,,0.44771293,,,,,,
Canada,2002,,0.40764356,,,,,,
Canada,2003,,0.39199144,,,,,,
Canada,2004,,0.3963126,,,,,,
Canada,2005,,0.47891828,,,,,,
Canada,2006,,0.3930179,,,,,,
Canada,2007,,0.29831105,,,,,,
Canada,2008,,0.40479565,,,,,,
Canada,2009,,0.3808022,,,,,,
Canada,2010,,0.33755818,,,,,,
Canada,2011,,0.364805,,,,,,
Canada,2012,,,0.4133598,,,,,
Canada,2013,,,0.5403136,,,,,
Canada,2014,,,0.4582534,,,,,
Canada,2015,,,0.4983725,,,,,
Canada,2016,,,0.4649625,,,,,
Canada,2017,,,0.44375056,,,,,
Canada,2018,,,0.43881974,,,,,
Canada,2019,,,0.4084295,,,,,
Canada,2020,,,0.18313669,,,,,
Canada,2021,,,0.2465155,,,,,
Chile,1987,32.42483,,,,,,,
Chile,1990,27.492023,,,,,,,
Chile,1992,22.878729,,,,,,,
Chile,1994,21.385214,,,,,,,
Chile,1996,17.917192,,,,,,,
Chile,1998,16.715012,,,,,,,
Chile,2000,,18.074951,,,,,,
Chile,2003,,17.47165,,,,,,
Chile,2006,,,10.707702,,,,,
Chile,2009,,,8.550472,,,,,
Chile,2011,,,6.8718038,,,,,
Chile,2013,,,3.839838,,,,,
Chile,2015,,,2.9788985,,,,,
Chile,2017,,,2.226281,,,,,
Chile,2020,,,3.8051035,,,,,
Chile,2022,,,1.5589077,,,,,
China,1981,84.16412,,,,,,,
China,1984,78.96881,,,,,,,
China,1987,74.1986,,,,,,,
China (rural),1981,86.60377,,,,,,,
China (rural),1984,81.31488,,,,,,,
China (rural),1987,77.304245,,,,,,,
China (urban),1981,74.47709,,,,,,,
China (urban),1984,70.74845,,,,,,,
China (urban),1987,64.50221,,,,,,,
Colombia,1992,,28.036413,,,,,,
Colombia,1996,,35.290096,,,,,,
Colombia,1999,,38.35903,,,,,,
Colombia,2000,,34.701782,,,,,,
Colombia,2001,,,39.635838,,,,,
Colombia,2002,,,,31.634575,,,,
Colombia,2003,,,,31.05365,,,,
Colombia,2004,,,,30.48684,,,,
Colombia,2005,,,,27.848751,,,,
Colombia,2008,,,,,25.896612,,,
Colombia,2009,,,,,24.618904,,,
Colombia,2010,,,,,22.677473,,,
Colombia,2011,,,,,20.65809,,,
Colombia,2012,,,,,19.792795,,,
Colombia,2013,,,,,18.48338,,,
Colombia,2014,,,,,17.2214,,,
Colombia,2015,,,,,16.464731,,,
Colombia,2016,,,,,16.318975,,,
Colombia,2017,,,,,15.77914,,,
Colombia,2018,,,,,15.91029,,,
Colombia,2019,,,,,16.791262,,,
Colombia,2020,,,,,22.074703,,,
Colombia,2021,,,,,,19.41686,,
Colombia,2022,,,,,,17.07676,,
Colombia,2023,,,,,,15.449515,,
Colombia (urban),1980,35.869236,,,,,,,
Colombia (urban),1988,,29.850393,,,,,,
Colombia (urban),1989,,30.19797,,,,,,
Colombia (urban),1991,,28.07309,,,,,,
Costa Rica,1981,42.2523,,,,,,,
Costa Rica,1986,31.872992,,,,,,,
Costa Rica,1989,,24.175198,,,,,,
Costa Rica,1990,,23.174759,,,,,,
Costa Rica,1991,,26.651869,,,,,,
Costa Rica,1992,,24.010225,,,,,,
Costa Rica,1993,,20.344942,,,,,,
Costa Rica,1994,,17.42761,,,,,,
Costa Rica,1995,,18.120676,,,,,,
Costa Rica,1996,,20.242918,,,,,,
Costa Rica,1997,,17.99887,,,,,,
Costa Rica,1998,,15.163842,,,,,,
Costa Rica,1999,,17.116625,,,,,,
Costa Rica,2000,,17.312082,,,,,,
Costa Rica,2001,,,13.29636,,,,,
Costa Rica,2002,,,12.864031,,,,,
Costa Rica,2003,,,12.439878,,,,,
Costa Rica,2004,,,12.623374,,,,,
Costa Rica,2005,,,11.075834,,,,,
Costa Rica,2006,,,10.916456,,,,,
Costa Rica,2007,,,8.427214,,,,,
Costa Rica,2008,,,8.285957,,,,,
Costa Rica,2009,,,8.243753,,,,,
Costa Rica,2010,,,,6.4249754,,,,
Costa Rica,2011,,,,6.8373976,,,,
Costa Rica,2012,,,,6.3388414,,,,
Costa Rica,2013,,,,6.3989944,,,,
Costa Rica,2014,,,,6.244346,,,,
Costa Rica,2015,,,,6.131607,,,,
Costa Rica,2016,,,,5.7627835,,,,
Costa Rica,2017,,,,5.0551233,,,,
Costa Rica,2018,,,,5.766604,,,,
Costa Rica,2019,,,,5.3481045,,,,
Costa Rica,2020,,,,8.378279,,,,
Costa Rica,2021,,,,5.6964645,,,,
Costa Rica,2022,,,,5.427675,,,,
Costa Rica,2023,,,,4.8834434,,,,
Costa Rica,2024,,,,3.8885496,,,,
Croatia,1988,0.012631084,,,,,,,
Croatia,2009,,,,2.264898,,,,
Croatia,2010,,,,2.9035249,,,,
Croatia,2011,,,,2.9262729,,,,
Croatia,2012,,,,3.1417086,,,,
Croatia,2013,,,,3.125918,,,,
Croatia,2014,,,,2.7472103,,,,
Croatia,2015,,,,2.1698406,,,,
Croatia,2016,,,,1.9050988,,,,
Croatia,2017,,,,1.6935045,,,,
Croatia,2018,,,,1.1537632,,,,
Croatia,2019,,,,0.9108808,,,,
Croatia,2020,,,,0.93784446,,,,
Croatia,2021,,,,0.6715906,,,,
Croatia,2022,,,,0.80435157,,,,
Croatia,2023,,,,0.7401177,,,,
Cyprus,2004,0.1313743,,,,,,,
Cyprus,2005,0.053393155,,,,,,,
Cyprus,2006,0.023667302,,,,,,,
Cyprus,2007,0.04789663,,,,,,,
Cyprus,2008,0.014514491,,,,,,,
Cyprus,2009,0.11975146,,,,,,,
Cyprus,2010,0.092590235,,,,,,,
Cyprus,2011,0.057423215,,,,,,,
Cyprus,2012,0.025889624,,,,,,,
Cyprus,2013,0.1599988,,,,,,,
Cyprus,2014,0.174802,,,,,,,
Cyprus,2015,0.069760114,,,,,,,
