country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,468949,,,,,,,,,,,,,,,
Albania,2002,,488789,,,,,,,,,,,,,,
Albania,2005,,502189,,,,,,,,,,,,,,
Albania,2008,,416140,,,,,,,,,,,,,,
Albania,2012,,430501,,,,,,,,,,,,,,
Albania,2014,,,642412,,,,,,,,,,,,,
Albania,2015,,,540449,,,,,,,,,,,,,
Albania,2016,,,577118,,,,,,,,,,747355,,,
Albania,2017,,,550249,,,,,,,,,,725421,,,
Albania,2018,,,,534536,,,,,,,,,698293,,,
Albania,2019,,,,452479,,,,,,,,,,,,
Albania,2020,,,,462832,,,,,,,,,,,,
Algeria,1988,5068307,,,,,,,,,,,,,,,
Algeria,1995,,6164935,,,,,,,,,,,,,,
Algeria,2011,,,5257099,,,,,,,,,,,,,
Angola,2000,4702592,,,,,,,,,,,,,,,
Angola,2008,,5446525,,,,,,,,,,,,,,
Angola,2018,,,9184305,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,5990469,,,,,,,
Argentina (urban),1986,,,,,,,,,6495930,,,,,,,
Argentina (urban),1987,,,,,,,,,6902475,,,,,,,
Argentina (urban),1991,,,,,,,,,6879460,,,,,,,
Argentina (urban),1992,,,,,,,,,,7507932,,,,,,
Argentina (urban),1993,,,,,,,,,,7832182,,,,,,
Argentina (urban),1994,,,,,,,,,,8096701,,,,,,
Argentina (urban),1995,,,,,,,,,,8669713,,,,,,
Argentina (urban),1996,,,,,,,,,,8931401,,,,,,
Argentina (urban),1997,,,,,,,,,,9487400,,,,,,
Argentina (urban),1998,,,,,,,,,,,9344075,,,,,
Argentina (urban),1999,,,,,,,,,,,9646129,,,,,
Argentina (urban),2000,,,,,,,,,,,10324469,,,,,
Argentina (urban),2001,,,,,,,,,,,10445032,,,,,
Argentina (urban),2002,,,,,,,,,,,10645119,,,,,
Argentina (urban),2003,,,,,,,,,,,,10376708,,,,
Argentina (urban),2004,,,,,,,,,,,,10624340,,,,
Argentina (urban),2005,,,,,,,,,,,,10423480,,,,
Argentina (urban),2006,,,,,,,,,,,,10428071,,,,
Argentina (urban),2007,,,,,,,,,,,,10581779,,,,
Argentina (urban),2008,,,,,,,,,,,,10350037,,,,
Argentina (urban),2009,,,,,,,,,,,,10472012,,,,
Argentina (urban),2010,,,,,,,,,,,,10632503,,,,
Argentina (urban),2011,,,,,,,,,,,,10418395,,,,
Argentina (urban),2012,,,,,,,,,,,,10304093,,,,
Argentina (urban),2013,,,,,,,,,,,,10559870,,,,
Argentina (urban),2014,,,,,,,,,,,,10510615,,,,
Argentina (urban),2016,,,,,,,,,,,,10916817,,,,
Argentina (urban),2017,,,,,,,,,,,,10675328,,,,
Argentina (urban),2018,,,,,,,,,,,,11011832,,,,
Argentina (urban),2019,,,,,,,,,,,,11413054,,,,
Argentina (urban),2020,,,,,,,,,,,,11689624,,,,
Argentina (urban),2021,,,,,,,,,,,,10936825,,,,
Argentina (urban),2022,,,,,,,,,,,,10653383,,,,
Argentina (urban),2023,,,,,,,,,,,,11344382,,,,
Argentina (urban),2024,,,,,,,,,,,,11154228,,,,
Armenia,1996,,,,,,,,,804372,,,,,,,
Armenia,1999,,507897,,,,,,,,,,,,,,
Armenia,2001,,509375,,,,,,,,,,,,,,
Armenia,2002,,457663,,,,,,,,,,,,,,
Armenia,2003,,423131,,,,,,,,,,,,,,
Armenia,2004,,456395,,,,,,,,,,,,,,
Armenia,2005,,416775,,,,,,,,,,,,,,
Armenia,2006,,435819,,,,,,,,,,,,,,
Armenia,2007,,495113,,,,,,,,,,,,,,
Armenia,2008,,399668,,,,,,,,,,,,,,
Armenia,2009,,391031,,,,,,,,,,,,,,
Armenia,2010,,380535,,,,,,,,,,,,,,
Armenia,2011,,413051,,,,,,,,,,,,,,
Armenia,2012,,408404,,,,,,,,,,,,,,
Armenia,2013,,457152,,,,,,,,,,,,,,
Armenia,2014,,489912,,,,,,,,,,,,,,
Armenia,2015,,488803,,,,,,,,,,,,,,
Armenia,2016,,607555,,,,,,,,,,,,,,
Armenia,2017,,406019,,,,,,,,,,,,,,
Armenia,2018,,413742,,,,,,,,,,,,,,
