country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,0.0,,,,,,,,,,,,,,,
Albania,2002,,0.018678298,,,,,,,,,,,,,,
Albania,2005,,0.0,,,,,,,,,,,,,,
Albania,2008,,0.0,,,,,,,,,,,,,,
Albania,2012,,0.002784003,,,,,,,,,,,,,,
Albania,2014,,,0.0,,,,,,,,,,,,,
Albania,2015,,,0.0,,,,,,,,,,,,,
Albania,2016,,,0.0,,,,,,,,,,0.39769992,,,
Albania,2017,,,0.0,,,,,,,,,,0.25343037,,,
Albania,2018,,,,0.0,,,,,,,,,0.124732316,,,
Albania,2019,,,,0.0,,,,,,,,,,,,
Albania,2020,,,,0.0,,,,,,,,,,,,
Algeria,1988,0.0,,,,,,,,,,,,,,,
Algeria,1995,,0.0,,,,,,,,,,,,,,
Algeria,2011,,,0.0,,,,,,,,,,,,,
Angola,2000,2.3368037,,,,,,,,,,,,,,,
Angola,2008,,0.1454699,,,,,,,,,,,,,,
Angola,2018,,,2.02887,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,0.0,,,,,,,
Argentina (urban),1986,,,,,,,,,0.79361814,,,,,,,
Argentina (urban),1987,,,,,,,,,0.5673685,,,,,,,
Argentina (urban),1991,,,,,,,,,0.33828214,,,,,,,
Argentina (urban),1992,,,,,,,,,,0.6401125,,,,,,
Argentina (urban),1993,,,,,,,,,,0.62839663,,,,,,
Argentina (urban),1994,,,,,,,,,,0.840226,,,,,,
Argentina (urban),1995,,,,,,,,,,1.1290088,,,,,,
Argentina (urban),1996,,,,,,,,,,1.6077532,,,,,,
Argentina (urban),1997,,,,,,,,,,1.154157,,,,,,
Argentina (urban),1998,,,,,,,,,,,0.9365317,,,,,
Argentina (urban),1999,,,,,,,,,,,1.2042456,,,,,
Argentina (urban),2000,,,,,,,,,,,1.2500689,,,,,
Argentina (urban),2001,,,,,,,,,,,2.1424327,,,,,
Argentina (urban),2002,,,,,,,,,,,1.2748951,,,,,
Argentina (urban),2003,,,,,,,,,,,,0.53921413,,,,
Argentina (urban),2004,,,,,,,,,,,,0.32204622,,,,
Argentina (urban),2005,,,,,,,,,,,,0.23742509,,,,
Argentina (urban),2006,,,,,,,,,,,,0.20124924,,,,
Argentina (urban),2007,,,,,,,,,,,,0.22047774,,,,
Argentina (urban),2008,,,,,,,,,,,,0.18873557,,,,
Argentina (urban),2009,,,,,,,,,,,,0.1459372,,,,
Argentina (urban),2010,,,,,,,,,,,,0.11083181,,,,
Argentina (urban),2011,,,,,,,,,,,,0.092515975,,,,
Argentina (urban),2012,,,,,,,,,,,,0.11472965,,,,
Argentina (urban),2013,,,,,,,,,,,,0.12232305,,,,
Argentina (urban),2014,,,,,,,,,,,,0.110219724,,,,
Argentina (urban),2016,,,,,,,,,,,,0.107714616,,,,
Argentina (urban),2017,,,,,,,,,,,,0.10668418,,,,
Argentina (urban),2018,,,,,,,,,,,,0.10516741,,,,
Argentina (urban),2019,,,,,,,,,,,,0.119548,,,,
Argentina (urban),2020,,,,,,,,,,,,0.14835154,,,,
Argentina (urban),2021,,,,,,,,,,,,0.13938875,,,,
Argentina (urban),2022,,,,,,,,,,,,0.07586872,,,,
Argentina (urban),2023,,,,,,,,,,,,0.13755472,,,,
Argentina (urban),2024,,,,,,,,,,,,0.1018461,,,,
Armenia,1996,,,,,,,,,0.0,,,,,,,
Armenia,1999,,0.03554295,,,,,,,,,,,,,,
Armenia,2001,,0.15722255,,,,,,,,,,,,,,
