country,year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6,consumption_spell_7,consumption_spell_8,income_spell_1,income_spell_2,income_spell_3,income_spell_4,income_spell_5,income_spell_6,income_spell_7,income_spell_8
Albania,1996,0.43977898,,,,,,,,,,,,,,,
Albania,2002,,0.7203282,,,,,,,,,,,,,,
Albania,2005,,0.40605482,,,,,,,,,,,,,,
Albania,2008,,0.13596822,,,,,,,,,,,,,,
Albania,2012,,0.38039076,,,,,,,,,,,,,,
Albania,2014,,,0.6353305,,,,,,,,,,,,,
Albania,2015,,,0.12099491,,,,,,,,,,,,,
Albania,2016,,,0.14488487,,,,,,,,,,3.5201926,,,
Albania,2017,,,0.22087938,,,,,,,,,,3.0330272,,,
Albania,2018,,,,0.103190824,,,,,,,,,2.0855818,,,
Albania,2019,,,,0.017712966,,,,,,,,,,,,
Albania,2020,,,,0.035280984,,,,,,,,,,,,
Algeria,1988,2.467121,,,,,,,,,,,,,,,
Algeria,1995,,2.3397381,,,,,,,,,,,,,,
Algeria,2011,,,0.0,,,,,,,,,,,,,
Angola,2000,11.915495,,,,,,,,,,,,,,,
Angola,2008,,6.666666,,,,,,,,,,,,,,
Angola,2018,,,16.298851,,,,,,,,,,,,,
Argentina (urban),1980,,,,,,,,,0.0,,,,,,,
Argentina (urban),1986,,,,,,,,,1.0216786,,,,,,,
Argentina (urban),1987,,,,,,,,,0.906259,,,,,,,
Argentina (urban),1991,,,,,,,,,0.70900726,,,,,,,
Argentina (urban),1992,,,,,,,,,,1.2548529,,,,,,
Argentina (urban),1993,,,,,,,,,,1.3827034,,,,,,
Argentina (urban),1994,,,,,,,,,,1.4938599,,,,,,
Argentina (urban),1995,,,,,,,,,,2.5445101,,,,,,
Argentina (urban),1996,,,,,,,,,,3.018103,,,,,,
Argentina (urban),1997,,,,,,,,,,2.527039,,,,,,
Argentina (urban),1998,,,,,,,,,,,2.563033,,,,,
Argentina (urban),1999,,,,,,,,,,,2.7904828,,,,,
Argentina (urban),2000,,,,,,,,,,,3.296176,,,,,
Argentina (urban),2001,,,,,,,,,,,5.412436,,,,,
Argentina (urban),2002,,,,,,,,,,,6.9371967,,,,,
Argentina (urban),2003,,,,,,,,,,,,2.9953144,,,,
Argentina (urban),2004,,,,,,,,,,,,2.0643103,,,,
Argentina (urban),2005,,,,,,,,,,,,1.4754506,,,,
Argentina (urban),2006,,,,,,,,,,,,1.2293835,,,,
Argentina (urban),2007,,,,,,,,,,,,1.0012637,,,,
Argentina (urban),2008,,,,,,,,,,,,0.9389381,,,,
Argentina (urban),2009,,,,,,,,,,,,0.84439135,,,,
Argentina (urban),2010,,,,,,,,,,,,0.47805092,,,,
Argentina (urban),2011,,,,,,,,,,,,0.43479824,,,,
Argentina (urban),2012,,,,,,,,,,,,0.4217189,,,,
Argentina (urban),2013,,,,,,,,,,,,0.40691775,,,,
Argentina (urban),2014,,,,,,,,,,,,0.37981448,,,,
Argentina (urban),2016,,,,,,,,,,,,0.43779138,,,,
Argentina (urban),2017,,,,,,,,,,,,0.36078745,,,,
Argentina (urban),2018,,,,,,,,,,,,0.59103996,,,,
Argentina (urban),2019,,,,,,,,,,,,0.6050551,,,,
Argentina (urban),2020,,,,,,,,,,,,0.65103316,,,,
Argentina (urban),2021,,,,,,,,,,,,0.5826871,,,,
Argentina (urban),2022,,,,,,,,,,,,0.3899213,,,,
Argentina (urban),2023,,,,,,,,,,,,0.34925944,,,,
Argentina (urban),2024,,,,,,,,,,,,0.34227,,,,
Armenia,1996,,,,,,,,,5.6858993,,,,,,,
Armenia,1999,,5.2384405,,,,,,,,,,,,,,
Armenia,2001,,5.7719445,,,,,,,,,,,,,,
Armenia,2002,,4.327114,,,,,,,,,,,,,,
Armenia,2003,,2.8979778,,,,,,,,,,,,,,
Armenia,2004,,2.3651283,,,,,,,,,,,,,,
Armenia,2005,,1.2522385,,,,,,,,,,,,,,
Armenia,2006,,0.82086354,,,,,,,,,,,,,,
Armenia,2007,,0.69934887,,,,,,,,,,,,,,
Armenia,2008,,0.39258415,,,,,,,,,,,,,,
Armenia,2009,,0.51556426,,,,,,,,,,,,,,
Armenia,2010,,0.45081264,,,,,,,,,,,,,,
Armenia,2011,,0.5218027,,,,,,,,,,,,,,
Armenia,2012,,0.39444408,,,,,,,,,,,,,,
Armenia,2013,,0.6778778,,,,,,,,,,,,,,
Armenia,2014,,0.5940077,,,,,,,,,,,,,,
Armenia,2015,,0.5043806,,,,,,,,,,,,,,
Armenia,2016,,0.4361284,,,,,,,,,,,,,,
Armenia,2017,,0.361912,,,,,,,,,,,,,,
Armenia,2018,,0.5495119,,,,,,,,,,,,,,
Armenia,2019,,,0.38533342,,,,,,,,,,,,,
Armenia,2020,,,0.19175519,,,,,,,,,,,,,
Armenia,2021,,,0.28858095,,,,,,,,,,,,,
Armenia,2022,,,0.28977865,,,,,,,,,,,,,
Armenia,2023,,,0.28300202,,,,,,,,,,,,,
Australia,1981,,,,,,,,,0.5907324,,,,,,,
Australia,1985,,,,,,,,,,0.65869236,,,,,,
Australia,1989,,,,,,,,,,,0.4961639,,,,,
Australia,1995,,,,,,,,,,,,0.660762,,,,
Australia,2001,,,,,,,,,,,,0.6186102,,,,
Australia,2003,,,,,,,,,,,,0.76477885,,,,
Australia,2004,,,,,,,,,,,,0.482525,,,,
Australia,2008,,,,,,,,,,,,0.33035943,,,,
Australia,2010,,,,,,,,,,,,0.307806,,,,
Australia,2014,,,,,,,,,,,,0.37956685,,,,
Australia,2016,,,,,,,,,,,,0.3373611,,,,
Australia,2018,,,,,,,,,,,,0.4024701,,,,
Australia,2020,,,,,,,,,,,,0.6264607,,,,
Austria,1994,,,,,,,,,,0.08030801,,,,,,
Austria,1995,,,,,,,,,,0.0,,,,,,
Austria,1996,,,,,,,,,,0.0,,,,,,
Austria,1997,,,,,,,,,,0.04668461,,,,,,
Austria,1998,,,,,,,,,,0.0770584,,,,,,
Austria,1999,,,,,,,,,,0.082306735,,,,,,
Austria,2000,,,,,,,,,,0.0222348,,,,,,
Austria,2003,,,,,,,,,,,0.26969254,,,,,
Austria,2004,,,,,,,,,,,0.066530764,,,,,
Austria,2005,,,,,,,,,,,0.1063106,,,,,
Austria,2006,,,,,,,,,,,0.05299619,,,,,
Austria,2007,,,,,,,,,,,0.282415,,,,,
